被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
117,5065173,6207661,4571824,3662234,4968690,6170964
118,5064572,6206691,4571799,3662283,4967312,6170599
119,5064446,6205841,4571872,3662185,4965860,6168505
120,5061616,6205962,4571872,3662136,4964483,6168919
121,5061616,6206521,4571654,3662161,4963277,6171085
122,5060188,6206836,4571944,3662283,4960644,6169041
123,5061941,6206399,4572211,3662234,4958036,6169041
124,5061516,6206084,4572211,3662234,4958036,6168676
125,5058936,6205356,4572259,3662356,4956708,6171231
126,5060138,6203851,4572090,3662624,4955330,6170696
127,5060389,6202540,4572114,3662820,4955380,6167142
128,5057934,6202540,4572114,3662453,4955306,6168335
129,5058310,6202274,4572187,3662429,4955724,6169236
130,5059863,6201376,4572477,3662356,4955995,6166997
131,5058836,6201157,4572477,3662649,4956659,6166680
132,5058836,6201036,4572259,3662868,4956462,6168700
133,5057408,6201133,4572332,3662966,4956758,6168603
134,5058686,6201497,4572114,3663063,4957249,6168603
135,5057483,6200866,4571969,3663063,4957249,6167434
136,5054402,6200963,4571896,3663282,4957397,6169528
137,5053701,6201327,4571969,3663575,4958061,6170088
138,5054878,6200478,4572187,3663721,4958799,6167897
139,5052975,6200478,4572332,3663575,4959882,6168018
140,5051873,6200793,4572695,3663673,4960669,6170526
141,5053901,6199531,4572477,3663210,4961358,6169698
142,5053576,6199798,4572477,3662673,4961506,6168993
143,5053576,6198463,4572598,3662624,4961235,6170355
144,5051447,6198900,4572598,3662283,4961161,6170867
145,5052073,6196934,4572598,3662283,4959414,6170867
146,5053476,6197153,4572647,3662185,4959414,6168433
147,5051346,6196400,4573203,3662624,4959710,6168822
148,5051346,6196158,4572598,3663039,4959414,6170428
149,5053400,6197517,4572961,3663697,4959660,6169479
150,5053150,6197517,4573058,3663697,4959808,6168895
151,5051923,6196862,4573107,3663795,4959070,6171377
152,5052875,6197541,4572695,3663551,4957422,6171621
153,5052875,6196425,4572695,3663429,4956437,6169893
154,5054703,6196570,4573203,3663453,4955355,6171085
155,5054252,6195406,4573325,3663307,4954740,6172108
156,5054928,6193876,4573543,3663307,4954740,6172108
157,5058610,6192396,4573736,3662820,4953042,6170185
158,5059011,6190600,4573930,3662185,4950877,6170185
159,5058660,6188537,4573978,3661527,4948909,6171962
160,5061992,6186159,4574221,3661503,4946203,6171645
161,5063119,6186159,4574390,3662356,4943496,6170209
162,5061967,6183902,4574099,3662478,4941652,6172595
163,5062894,6182227,4573809,3662453,4940471,6172862
164,5062894,6178830,4573809,3662990,4939265,6170867
165,5063920,6177228,4573809,3663112,4937936,6171085
166,5062918,6175432,4573857,3663112,4937912,6171085
167,5061090,6173928,4573882,3663307,4937912,6172887
168,5062493,6171767,4573882,3663234,4936829,6171889
169,5061941,6171865,4574027,3662917,4936854,6170745
170,5059612,6169778,4574003,3662575,4936583,6172668
171,5059837,6168443,4574342,3662356,4936534,6172278
172,5061240,6168443,4573857,3662258,4936387,6170039
173,5058836,6166404,4574221,3661917,4935476,6170453
174,5058285,6165143,4574269,3662039,4933237,6171718
175,5058285,6163686,4574269,3661697,4930925,6169625
176,5060364,6161963,4574221,3662088,4929621,6169065
177,5060013,6160021,4574657,3662088,4928587,6169065
178,5058460,6158638,4574802,3662502,4928587,6170988
179,5059913,6157740,4574632,3662453,4927677,6170234
180,5060414,6156381,4575092,3662404,4927062,6168773
181,5058460,6155678,4574874,3662820,4926866,6171134
182,5059312,6154343,4574923,3662502,4926620,6171329
183,5061090,6154343,4575310,3662722,4926373,6169747
184,5060564,6154343,4574971,3663014,4926644,6169917
185,5059387,6152159,4574971,3662941,4926545,6172643
186,5059387,6151964,4575238,3662283,4925709,6171280
187,5060790,6150605,4575238,3662283,4925561,6171110
188,5059612,6150217,4575238,3662283,4925660,6171110
189,5056631,6149368,4575794,3662014,4925660,6173496
190,5058360,6148591,4575576,3662453,4925684,6172229
191,5058260,6147256,4575722,3662234,4926545,6171329
192,5055229,6145994,4575189,3662136,4927382,6173179
193,5056106,6144077,4575407,3662332,4927825,6172838
194,5056932,6143470,4575189,3662283,4928440,6170818
195,5055329,6143470,4575431,3661990,4928317,6172278
196,5055329,6142767,4575238,3662551,4929006,6173617
197,5055329,6141335,4575480,3663185,4929990,6171499
198,5056957,6141578,4575480,3663185,4930309,6171402
199,5056406,6140680,4575431,3663478,4930309,6171402
200,5054453,6140946,4575431,3663575,4929055,6173836
201,5056005,6141674,4575552,3663770,4927259,6173593
202,5056506,6142306,4575625,3663551,4927259,6172083
203,5054402,6142669,4575649,3663966,4925340,6173836
204,5053926,6143446,4575891,3664161,4923126,6174104
205,5056030,6144538,4576012,3664234,4920542,6172083
206,5055129,6144538,4575746,3664088,4918673,6171621
207,5053826,6144708,4576036,3663429,4915573,6172935
208,5053826,6145266,4576569,3662551,4914490,6172083
209,5056081,6145630,4576569,3662307,4913506,6172083
210,5055480,6146188,4577247,3663868,4914441,6170939
211,5053476,6148057,4577296,3663868,4915966,6173179
212,5054377,6149805,4577756,3664721,4915966,6173617
213,5056206,6150071,4578095,3664331,4918058,6172035
214,5055404,6150873,4578095,3663990,4919805,6173325
215,5055404,6152037,4578264,3664282,4919928,6175418
216,5058084,6153372,4578095,3664917,4920493,6174225
217,5058861,6153372,4578482,3665136,4921871,6173812
218,5057709,6154949,4578603,3666063,4923790,6175881
219,5057709,6156017,4578119,3665965,4926054,6176002
220,5059011,6156891,4578119,3665721,4928096,6176002
221,5061140,6155944,4578167,3665916,4929768,6173714
222,5060814,6153809,4578409,3665916,4931884,6173958
223,5060238,6154148,4579088,3665989,4931884,6174712
224,5062768,6153590,4579063,3666063,4931835,6173130
225,5062943,6154173,4579596,3666477,4932917,6172692
226,5061090,6152061,4579741,3666257,4932524,6174809
227,5062768,6150533,4579378,3666453,4931564,6175637
228,5064396,6150533,4579330,3666112,4930703,6173690
229,5062543,6147499,4578845,3666257,4929227,6175394
230,5062543,6144708,4578821,3666234,4927899,6177804
231,5062367,6143883,4578821,3666112,4925512,6177804
232,5064697,6141820,4578288,3666112,4923962,6176562
233,5065423,6140534,4578143,3666209,4921871,6177560
234,5063896,6138520,4577756,3666355,4921871,6180700
235,5065824,6137039,4577780,3666526,4919460,6181284
236,5066851,6135777,4577974,3667038,4917418,6179166
237,5064697,6132768,4578167,3667550,4915769,6180968
238,5064497,6131506,4577925,3667916,4914835,6181333
239,5066525,6131506,4577756,3668233,4912350,6178777
240,5065198,6127477,4577877,3668599,4910849,6178655
241,5065198,6124298,4577804,3668745,4908635,6180870
242,5064371,6121531,4577804,3669282,4906765,6180870
243,5067277,6120318,4577732,3669282,4904969,6179410
244,5067803,6117066,4577611,3669965,4904969,6178996
245,5066851,6115246,4577393,3671037,4903591,6181674
246,5069005,6113887,4576957,3671623,4902706,6180602
247,5071435,6113110,4576787,3672062,4902657,6178948
248,5070032,6112673,4576424,3673037,4902337,6181552
249,5071034,6111338,4576351,3673525,4902755,6181820
250,5074215,6111338,4576617,3673793,4901476,6179702
251,5074816,6110368,4576594,3674598,4900935,6179872
252,5074816,6108984,4576642,3675622,4899753,6179872
253,5075192,6107577,4576594,3675622,4898696,6181795
254,5079124,6104762,4576594,3676207,4897318,6180797
255,5080802,6104082,4576932,3676719,4897318,6180043
256,5080276,6102189,4577005,3677256,4896063,6182307
257,5081904,6101048,4576908,3677915,4894636,6182501
258,5084409,6100078,4577126,3678085,4893750,6180676
259,5084209,6100102,4577126,3678232,4892815,6180578
260,5083533,6100733,4577538,3678061,4892446,6182379
261,5086037,6100733,4577828,3677524,4892348,6181065
262,5085862,6101680,4577538,3677744,4892151,6180408
263,5085862,6103379,4577513,3677573,4892176,6180408
264,5083658,6104276,4577199,3677573,4891807,6182818
265,5084083,6105781,4577199,3676841,4891561,6183474
266,5085336,6106849,4577441,3676280,4891561,6182355
267,5083533,6108742,4577030,3675866,4890823,6183815
268,5083983,6109712,4577102,3675329,4890700,6186006
269,5087114,6111096,4577296,3675086,4889888,6184521
270,5087641,6113183,4577175,3674671,4890872,6185300
271,5086488,6113644,4577393,3674354,4890798,6188002
272,5089143,6113644,4577223,3673988,4891044,6188489
273,5091122,6116289,4577296,3674305,4891832,6187856
274,5091122,6117648,4577126,3674427,4892766,6187856
275,5090646,6119978,4577368,3674427,4893726,6190436
276,5091648,6121386,4577368,3674305,4893726,6190777
277,5094203,6122769,4577368,3674183,4894316,6188757
278,5093677,6124662,4577247,3673842,4894636,6189779
279,5093251,6126094,4577393,3673891,4894710,6191556
280,5095681,6128642,4577562,3673573,4895571,6190290
281,5096808,6130462,4577707,3673183,4896235,6189268
282,5095430,6133180,4577707,3672306,4897736,6190947
283,5096332,6133180,4577030,3671501,4898671,6190899
284,5099488,6135874,4577199,3671062,4900098,6188805
285,5099488,6138980,4576545,3671062,4901279,6188805
286,5098386,6142524,4577030,3670403,4901574,6188903
287,5098561,6145363,4577030,3669940,4901574,6190655
288,5101617,6147863,4577199,3669965,4902534,6188270
289,5102168,6149610,4577562,3670696,4905313,6188270
290,5100189,6152474,4577441,3670184,4906962,6190655
291,5102769,6154415,4576884,3669891,4910726,6190680
292,5103345,6157158,4577005,3669452,4912645,6189316
293,5101542,6159172,4576787,3669013,4915155,6192237
294,5101792,6159172,4577175,3668989,4916532,6192773
295,5103420,6161478,4577562,3669135,4917467,6191458
296,5103420,6162206,4577078,3669135,4918796,6191458
297,5102919,6165045,4577030,3669452,4920616,6191775
298,5101968,6166550,4577030,3669355,4920616,6193698
299,5104748,6167666,4576908,3669306,4922093,6191361
300,5104648,6169390,4577296,3669526,4924307,6190777
301,5103471,6170627,4577223,3669989,4926964,6192408
302,5105399,6172738,4577562,3670233,4929572,6191629
303,5105825,6174098,4577611,3669916,4931786,6190047
304,5103946,6176646,4577877,3669842,4933262,6192286
305,5104798,6176646,4577877,3669696,4934591,6193625
306,5104798,6177956,4578240,3669379,4935525,6192456
307,5106376,6178442,4578095,3669965,4936681,6192456
308,5105274,6180966,4578579,3670477,4937223,6193795
309,5105099,6181499,4578579,3670477,4938281,6196204
310,5107052,6182786,4578579,3670818,4938281,6194817
311,5106927,6183198,4578797,3670672,4940274,6194330
312,5105123,6184703,4578870,3670233,4941135,6197202
313,5106000,6185334,4579088,3669891,4941873,6196350
314,5107653,6185164,4579354,3669501,4941627,6194258
315,5105850,6184921,4579596,3669720,4941922,6195328
316,5105900,6184921,4579499,3670428,4941972,6196448
317,5105900,6185237,4579015,3670355,4943496,6196448
318,5107728,6185965,4578918,3670452,4944185,6194330
319,5106952,6186911,4578894,3670452,4945514,6194209
320,5104497,6185941,4579088,3669940,4945145,6197056
321,5105800,6185553,4579088,3669916,4945145,6195231
322,5105575,6185261,4579427,3669330,4944997,6194696
323,5102919,6184655,4579741,3668794,4944062,6197056
324,5103019,6185237,4579354,3668867,4943890,6197105
325,5103946,6184218,4579838,3669599,4943644,6194184
326,5101592,6184849,4579620,3669648,4944850,6195328
327,5101266,6184849,4579693,3669965,4944997,6195912
328,5101266,6184242,4579765,3669720,4945391,6195912
329,5103170,6184048,4579427,3669818,4945760,6193771
330,5102393,6184363,4580080,3669818,4945711,6194112
331,5100615,6183853,4580153,3670087,4945711,6196473
332,5102168,6183999,4580153,3670184,4946720,6195742
333,5102844,6184072,4580056,3669794,4946646,6193600
334,5100440,6183635,4579959,3669403,4946597,6196204
335,5100164,6182616,4580056,3668965,4946744,6195791
336,5102268,6183320,4579984,3669087,4945957,6193478
