被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,3447479,,,,4648169,4832418
1,3445926,,,,4649620,4833124
2,3445324,,,,4652253,4832832
3,3446302,,,,4653556,4833148
4,3445901,,,,4655082,4834024
5,3444774,,,,4656484,4833148
6,3445550,,,,4657566,4833756
7,3445224,,,,4658895,4833708
8,3445224,,,,4659830,4832296
9,3445224,,,,4660371,4832418
10,3448105,,,,4660371,4833002
11,3447929,,,,4660297,4833002
12,3446727,,,,4660593,4831347
13,3446978,,,,4660642,4831542
14,3443020,,,,4660297,4831834
15,3438912,,,,4660568,4831298
16,3437334,,,,4660420,4831322
17,3433402,,,,4660568,4831128
18,3429144,,,,4661011,4830641
19,3426439,,,,4660445,4830909
20,3426439,,,,4660445,4830057
21,3423358,,,,4660420,4828645
22,3418824,,,,4659732,4828645
23,3416745,,,,4658625,4828426
24,3413840,,,,4657542,4828694
25,3409782,,,,4656263,4828012
26,3408329,,,,4655082,4828353
27,3407853,,,,4654393,4829156
28,3406601,,,,4653729,4828426
29,3408705,,,,4653434,4830227
30,3409156,,,,4652867,4830763
31,3409156,,,,4652867,4830714
32,3408905,,,,4652006,4831834
33,3411385,,,,4651490,4831834
34,3412713,,,,4650875,4833026
35,3412838,,,,4649571,4833002
36,3415443,,,,4649202,4834609
37,3416345,,,,4647947,4835704
38,3414967,,,,4647135,4836045
39,3416069,,,,4646397,4837578
40,3416821,,,,4645831,4839282
41,3416044,,,,4645388,4839209
42,3416044,,,,4645388,4840377
43,3417522,,,,4645192,4841132
44,3418123,,,,4644822,4841132
45,3416846,,,,4643666,4839939
46,3417998,,,,4643371,4839988
47,3418424,,,,4642510,4840377
48,3415142,,,,4641969,4839257
49,3414065,,,,4641772,4839160
50,3412161,,,,4641280,4839744
51,3408680,,,,4641108,4839038
52,3408680,,,,4641108,4838844
53,3408680,,,,4640567,4839428
54,3407503,,,,4638967,4838844
55,3404096,,,,4637836,4838844
56,3403871,,,,4636777,4838479
57,3402719,,,,4636113,4838771
58,3399989,,,,4636015,4836629
59,3398786,,,,4635523,4835071
60,3399312,,,,4634908,4834438
61,3397384,,,,4634318,4831639
62,3398761,,,,4633506,4831030
63,3398661,,,,4633506,4831493
64,3398661,,,,4633309,4829594
65,3396156,,,,4633259,4829594
66,3395054,,,,4633038,4829229
67,3392424,,,,4633112,4829789
68,3388166,,,,4633038,4828718
69,3385235,,,,4632497,4827526
70,3384334,,,,4631783,4827380
71,3380902,,,,4632078,4825505
72,3379675,,,,4631857,4823534
73,3381579,,,,4632078,4822731
74,3379224,,,,4632078,4820637
75,3379224,,,,4632398,4818958
76,3378122,,,,4633259,4818958
77,3379399,,,,4633998,4818446
78,3377671,,,,4634686,4817156
79,3376268,,,,4635129,4815136
80,3377896,,,,4635400,4814163
81,3376168,,,,4635695,4812483
82,3376018,,,,4636040,4811850
83,3376894,,,,4636360,4811875
84,3375016,,,,4636360,4811145
85,3374415,,,,4637122,4810609
86,3374415,,,,4637663,4811096
87,3374766,,,,4637860,4811096
88,3372336,,,,4637983,4810293
89,3372286,,,,4638180,4809319
90,3373113,,,,4638130,4808710
91,3373038,,,,4637934,4807883
92,3373864,,,,4637885,4806179
93,3376419,,,,4637860,4806325
94,3376544,,,,4637885,4804913
95,3377320,,,,4637885,4803282
96,3380026,,,,4637737,4802552
97,3380026,,,,4637959,4801433
98,3380452,,,,4638205,4801433
99,3383257,,,,4638180,4798853
100,3386638,5072992,3759591,2997609,4638500,4797733
101,3387340,5073527,3759591,2997683,4638819,4796467
102,3388216,5073842,3759155,2997219,4638992,4794763
103,3391121,5073017,3758404,2996317,4639681,4794204
104,3391197,5073235,3758090,2994854,4639213,4793668
105,3392624,5072604,3757944,2994854,4639189,4792111
106,3394854,5072264,3757727,2994488,4639189,4792305
107,3394854,5072992,3757194,2994927,4639115,4791818
108,3395405,5072992,3756976,2995268,4639262,4790383
109,3395681,5073017,3757509,2995805,4639902,4790383
110,3397559,5072726,3757727,2995585,4640271,4791015
111,3396908,5072701,3758719,2994610,4640763,4789482
112,3398085,5072992,3758719,2994293,4641501,4787900
113,3399488,5072750,3759761,2993952,4642141,4786731
114,3398711,5073551,3760390,2994244,4642780,4784687
115,3398736,5073357,3760100,2994513,4643026,4783372
116,3400715,5072871,3759082,2994513,4643026,4782691
117,3399989,5073551,3757460,2994439,4642682,4782156
118,3399989,5072386,3755329,2994074,4642485,4781912
119,3400490,5072386,3753223,2994196,4641920,4782740
120,3404547,5072992,3750971,2994366,4642067,4782740
121,3405624,5072653,3749445,2994293,4642116,4783031
122,3408329,5072580,3748453,2994415,4642313,4782983
123,3412412,5072896,3748453,2994830,4642067,4783932
124,3413589,5072774,3747484,2995317,4642091,4784687
125,3415468,5073211,3747339,2995732,4641797,4784614
126,3417096,5073599,3747290,2996390,4641969,4785733
