被试ID:130123xx,,,,,,
127,3414541,5072992,3747072,2996390,4641969,4785149
128,3412763,5072094,3746418,2997341,4642043,4784054
129,3412763,5072556,3745039,2998195,4641747,4783810
130,3413314,5072556,3743537,2999438,4641575,4783810
131,3411285,5072313,3742375,3000195,4641206,4783494
132,3409256,5072119,3741600,3000658,4641526,4782618
133,3409482,5072434,3740559,3000926,4641526,4783226
134,3408179,5072143,3740559,3001194,4641624,4782253
135,3407528,5071876,3740075,3001316,4641255,4781376
136,3409507,5072434,3739784,3001365,4641403,4781644
137,3407628,5072192,3740026,3001365,4641157,4781279
138,3407302,5072410,3739808,3001512,4641157,4780281
139,3407352,5072143,3740971,3002048,4640640,4780768
140,3407352,5072410,3742206,3002926,4640591,4780062
141,3405324,5072410,3743150,3003828,4640837,4780062
142,3402694,5072361,3743973,3005072,4640886,4779015
143,3401266,5073138,3744990,3005901,4641181,4780281
144,3398511,5072822,3745547,3006511,4640493,4781230
145,3397960,5073041,3745547,3006974,4641034,4781328
146,3397684,5073066,3745426,3007389,4641181,4782131
147,3396006,5073235,3745353,3009193,4641034,4783348
148,3394904,5072822,3744917,3009193,4641034,4781644
149,3392023,5072896,3744990,3010656,4641526,4780841
150,3387615,5073405,3745014,3012071,4641403,4779940
151,3387615,5072847,3745353,3012900,4641673,4778772
152,3384935,5072847,3745256,3013217,4642682,4778772
153,3381027,5073211,3745741,3014241,4642633,4779502
154,3375843,5073332,3746709,3015168,4642879,4778894
155,3371685,5073066,3747145,3015509,4643346,4778212
156,3368804,5073842,3747557,3016167,4644208,4778626
157,3363720,5072847,3747557,3017631,4644822,4778163
158,3360138,5072410,3747847,3017631,4645684,4776703
159,3358610,5072434,3747799,3018850,4645684,4777531
160,3354527,5073162,3747460,3019240,4645979,4775072
161,3352148,5072677,3747266,3019021,4646471,4773490
162,3352148,5072216,3747702,3019338,4646939,4772468
163,3349092,5072216,3746976,3019777,4646791,4772468
164,3344408,5072847,3746661,3021045,4647430,4772054
165,3340826,5072774,3746346,3021337,4647652,4769523
166,3337319,5072264,3746225,3021216,4648415,4771397
167,3332836,5072119,3745886,3021118,4648415,4770886
168,3329730,5071439,3745886,3020094,4648070,4771957
169,3325572,5071901,3745426,3020094,4648784,4773758
170,3318759,5071755,3745111,3019460,4648784,4775997
171,3314426,5071536,3744820,3019070,4648562,4778894
172,3310143,5072143,3744094,3019411,4648956,4782983
173,3310143,5072847,3743150,3019387,4649079,4784102
174,3304457,5072847,3742666,3019411,4649472,4784102
175,3301602,5071949,3741939,3019899,4648906,4783494
176,3297945,5071609,3741455,3020045,4649374,4783202
177,3293862,5072240,3740656,3020313,4649866,4781255
178,3291808,5071876,3740583,3020898,4649448,4779381
179,3289855,5071731,3740583,3021216,4649891,4778407
180,3286674,5072168,3740026,3021216,4649891,4776484
181,3287275,5071342,3739856,3021727,4650211,4774975
182,3286698,5071318,3740414,3021606,4651244,4775048
183,3284920,5071488,3740583,3020777,4651367,4773831
184,3284920,5070493,3740680,3020070,4652031,4773734
185,3284519,5070493,3740341,3019728,4652622,4773734
186,3282240,5070542,3740462,3020313,4653778,4774391
187,3279360,5070347,3739687,3021581,4654811,4773466
188,3279861,5069716,3739396,3022972,4656140,4773271
189,3278583,5068891,3739082,3023435,4656804,4773855
190,3277581,5068867,3739082,3023435,4658059,4773393
191,3278308,5068964,3738331,3023411,4658059,4773612
192,3278208,5068479,3738041,3023191,4659461,4775388
193,3275903,5068260,3737677,3023557,4660790,4775437
194,3276078,5068649,3737992,3023557,4661306,4776411
195,3276078,5068212,3737992,3023727,4662905,4776411
196,3276029,5068212,3737653,3024215,4663791,4777068
197,3274701,5067921,3737145,3024654,4665882,4776094
198,3274776,5068673,3736588,3026019,4668588,4775364
199,3273549,5068114,3736781,3026410,4670680,4774439
200,3270843,5068745,3736442,3026264,4673534,4772273
201,3270468,5069037,3736442,3026264,4676437,4770667
202,3269967,5070080,3736588,3025947,4676437,4769231
203,3268163,5070517,3736781,3025337,4680250,4765799
204,3269566,5071512,3737774,3025142,4684162,4763170
205,3269741,5072264,3738791,3025654,4688689,4760152
206,3269741,5072847,3739396,3026727,4693043,4760152
207,3268314,5072847,3738379,3027239,4698333,4757718
208,3269165,5073405,3738041,3028751,4701482,4756939
209,3268965,5074036,3737798,3030068,4704729,4756817
210,3267437,5074788,3737677,3031994,4707387,4755503
211,3267988,5076341,3738404,3034286,4709060,4755722
212,3268764,5076900,3738234,3034286,4709060,4755211
213,3269792,5078137,3738234,3036847,4711889,4752947
214,3273624,5079375,3738840,3039993,4714029,4751754
215,3276630,5080953,3740050,3040871,4714915,4751608
216,3277055,5082166,3740559,3040285,4716514,4750708
217,3277055,5083210,3740995,3039310,4716981,4750708
218,3279685,5085248,3741673,3038627,4717720,4750123
219,3281113,5085248,3741576,3038432,4717548,4750245
220,3280913,5087408,3741188,3038554,4717720,4748809
221,3284044,5088160,3740849,3038847,4717424,4748955
222,3285196,5090685,3741600,3038847,4717154,4749466
223,3283993,5091461,3741721,3039286,4717154,4747032
224,3284820,5093451,3741721,3040213,4716317,4746424
225,3284494,5095271,3741939,3040627,4715973,4745815
226,3283067,5096024,3742617,3041017,4715678,4743527
227,3283242,5095781,3742980,3039920,4714939,4741750
228,3283242,5097116,3743513,3038847,4715137,4741750
229,3283092,5096776,3743876,3038115,4714792,4740193
230,3282040,5096776,3744215,3037847,4714325,4738367
231,3284545,5097698,3744990,3037725,4713980,4737345
232,3285672,5097941,3746709,3037555,4713267,4736274
233,3286649,5098086,3747993,3037555,4713488,4735105
234,3288277,5097649,3747702,3037896,4713488,4735325
235,3289053,5098014,3747702,3038067,4713463,4735690
236,3289078,5098815,3748477,3037432,4712824,4735641
237,3290456,5098887,3749784,3036652,4713439,4735714
238,3290305,5098523,3751552,3036457,4713390,4736128
239,3290305,5098378,3753828,3036213,4713734,4736128
240,3289980,5098305,3755692,3036067,4714005,4735641
241,3291032,5098305,3755741,3035481,4714521,4736079
242,3292008,5097649,3755015,3034872,4715210,4735957
243,3291758,5097577,3754385,3034409,4715333,4734570
244,3294789,5097722,3753586,3034409,4715333,4733474
245,3295615,5096824,3753416,3033970,4715087,4732184
246,3295465,5097625,3753416,3033457,4715185,4729678
247,3295991,5096946,3752956,3033531,4715333,4728850
248,3295215,5096461,3752472,3034238,4714891,4727755
249,3293511,5096606,3752472,3034896,4715333,4727755
250,3293511,5096145,3753247,3035872,4714743,4726173
251,3293737,5096533,3753440,3036384,4713709,4725881
252,3292810,5096533,3754046,3037189,4713193,4726197
253,3291959,5096727,3754434,3037847,4712430,4725978
254,3293311,5095441,3754482,3037847,4712012,4727414
255,3294639,5095101,3754530,3038237,4712012,4728144
256,3294163,5095368,3753901,3038530,4710831,4727804
257,3296668,5094252,3753901,3038652,4710216,4728509
258,3296292,5094155,3753223,3038896,4708888,4729118
259,3296066,5093864,3752932,3038652,4708026,4728728
260,3297469,5093281,3752859,3038506,4706107,4728728
261,3297469,5093524,3752980,3038213,4705886,4728460
262,3299047,5093087,3753053,3037725,4704803,4728071
263,3298571,5093087,3753271,3037432,4703893,4726319
264,3300625,5093864,3753320,3036506,4703942,4726416
265,3299473,5093500,3753852,3036506,4703057,4724761
266,3298797,5092869,3753320,3036213,4703057,4722668
267,3299498,5092068,3753683,3036018,4702122,4722522
268,3297444,5092699,3753683,3036286,4701359,4722181
269,3294589,5091776,3753780,3036677,4701187,4721548
270,3293486,5092432,3753852,3037116,4700670,4721767
271,3290080,5092311,3753416,3038139,4700030,4721767
272,3290080,5092481,3753320,3039334,4699662,4722741
273,3288152,5091631,3753223,3040603,4699489,4723422
274,3288953,5091631,3754119,3041505,4699096,4725150
275,3286623,5090976,3754457,3041505,4698186,4726781
276,3286398,5090248,3754797,3042066,4698186,4726806
277,3287400,5089981,3754990,3042627,4698112,4727463
278,3285747,5089835,3754869,3042992,4698087,4727852
279,3285647,5089641,3755208,3043554,4698161,4727536
280,3286974,5090539,3755208,3043724,4698554,4728777
281,3285872,5089034,3754893,3043919,4698308,4729702
282,3286724,5088985,3754917,3044675,4698333,4729702
283,3286724,5088719,3754506,3044895,4698603,4729921
284,3289003,5087675,3754312,3045772,4698456,4731406
285,3288702,5087675,3754070,3046455,4698013,4731869
286,3288903,5087699,3753974,3046455,4697915,4730968
287,3290631,5087335,3754240,3047187,4697915,4731966
288,3290781,5087238,3754191,3048284,4696931,4731430
289,3293111,5086656,3754603,3049211,4697029,4730773
290,3297243,5086413,3755571,3050113,4695947,4731966
291,3299297,5085418,3755571,3051064,4696045,4731430
292,3303130,5084690,3755983,3052137,4696069,4730456
293,3308691,5083112,3756153,3052942,4696315,4730456
294,3308691,5082773,3756394,3052430,4696168,4729507
295,3313600,5081535,3756782,3051357,4696709,4727852
296,3320012,5081535,3756588,3050674,4696611,4726051
297,3326324,5081317,3756758,3050674,4696611,4725418
298,3331208,5080564,3756928,3049894,4695873,4723009
299,3336944,5080637,3756782,3049138,4695676,4722229
300,3343882,5079642,3758186,3049114,4696069,4720939
301,3347965,5079691,3759421,3048894,4695676,4719771
302,3351872,5078234,3759421,3049187,4695848,4718530
303,3356281,5078332,3759906,3049284,4695774,4718676
304,3357232,5077797,3759615,3048967,4694889,4718676
305,3357232,5077239,3759809,3049114,4694396,4717726
306,3359136,5077749,3759325,3049747,4694052,4717167
307,3361490,5077749,3759470,3049747,4694077,4717678
308,3362166,5077385,3759349,3050040,4694077,4717143
309,3363770,5077167,3759397,3050576,4694175,4716972
310,3366225,5076366,3760535,3051381,4694224,4717264
311,3365899,5076560,3761577,3051796,4694470,4715950
312,3367877,5076026,3762061,3052040,4694273,4714538
313,3370057,5075759,3762061,3052137,4694224,4714489
314,3370007,5075638,3762424,3052576,4694077,4714489
315,3373038,5075492,3762594,3053210,4694273,4713297
316,3373038,5076390,3762448,3053869,4693757,4712688
317,3376569,5075541,3762521,3054113,4693782,4712858
318,3377671,5075541,3762254,3054113,4693462,4712566
319,3381503,5075978,3761867,3054771,4693462,4712031
320,3383658,5076196,3762061,3055137,4693068,4712712
321,3384259,5074983,3761867,3056113,4692551,4712177
322,3386037,5075128,3762327,3056429,4692108,4712031
323,3386788,5075274,3762303,3056478,4691764,4712786
324,3385837,5075104,3762303,3056649,4691838,4712226
325,3385962,5075298,3762206,3056746,4691985,4712226
326,3386588,5075298,3762473,3056771,4691518,4712348
327,3386588,5075978,3762569,3057136,4691371,4712907
328,3385411,5075686,3762545,3057624,4691542,4712055
329,3386388,5075686,3762545,3057624,4691542,4711885
330,3385386,5075516,3762303,3058697,4690657,4712932
331,3382806,5076123,3761867,3059161,4690189,4712080
332,3382180,5076026,3761262,3059697,4688984,4712201
333,3381328,5075735,3760729,3061038,4688566,4713199
334,3377922,5075735,3760172,3062477,4687926,4712542
335,3377120,5076269,3760172,3063184,4687164,4712348
336,3376293,5075905,3760051,3064111,4687139,4712348
337,3373263,5076463,3759809,3064574,4687262,4713564
338,3373263,5076463,3759494,3064940,4686524,4712786
339,3373814,5077021,3759373,3064940,4687016,4712810
340,3373213,5077021,3759712,3065111,4687016,4713856
341,3371359,5076948,3759688,3064526,4686745,4712810
342,3372261,5076803,3759470,3064550,4686352,4712177
343,3373163,5076973,3759155,3064379,4686327,4713078
344,3372036,5077797,3759542,3064160,4686056,4712348
345,3373087,5077604,3760148,3063989,4686056,4713029
346,3373288,5077652,3759833,3063794,4685564,4713589
347,3372336,5078647,3759833,3064477,4684752,4713589
348,3374390,5078672,3759857,3064526,4684482,4712761
349,3374390,5077628,3759639,3064989,4684014,4712712
350,3374189,5077943,3759155,3064989,4683547,4713564
351,3374014,5077943,3758695,3065233,4683547,4712591
352,3377721,5077264,3758695,3065696,4682981,4712688
353,3380376,5077264,3758211,3066355,4682317,4712420
354,3381353,5077046,3757993,3066769,4681775,4710912
355,3384359,5076657,3757654,3066891,4681234,4710230
356,3386238,5076851,3756637,3067452,4680250,4708915
357,3385586,5077312,3755983,3067525,4679832,4708915
358,3386663,5077021,3755983,3067720,4679463,4707333
359,3387289,5076851,3755523,3068452,4678921,4707017
360,3387289,5076609,3755402,3068452,4678430,4707917
361,3386037,5077385,3755523,3068769,4678430,4707625
362,3388116,5077385,3755353,3068427,4678036,4708404
363,3387465,5077774,3755402,3068379,4677642,4709622
364,3386563,5077191,3754917,3068696,4677372,4709889
365,3387114,5077264,3754700,3068501,4676412,4711788
366,3386914,5077604,3754506,3068501,4676043,4713345
367,3385436,5076706,3754748,3068183,4675994,4713856
368,3386839,5076584,3755063,3068525,4675403,4713856
369,3386513,5076511,3755063,3068549,4675182,4715195
370,3385210,5076511,3755257,3068208,4674666,4716802
371,3385210,5077215,3756007,3068208,4673952,4716217
372,3386663,5076560,3756588,3067769,4673952,4717288
373,3386864,5076560,3757363,3068037,4673337,4717654
374,3386112,5076220,3757848,3068598,4672771,4717897
375,3387615,5076220,3758138,3068769,4672082,4718335
376,3388216,5076511,3758404,3069452,4671689,4718700
377,3388141,5076803,3758453,3069671,4671246,4718627
378,3389769,5076560,3758671,3069598,4669770,4718919
379,3389093,5075929,3758671,3069622,4669204,4718919
380,3389143,5075589,3758671,3069476,4668294,4719966
381,3390871,5075201,3758138,3069452,4667260,4719455
382,3390871,5075250,3758211,3069452,4666817,4720842
383,3390095,5075104,3758259,3069525,4666817,4721183
384,3390520,5075104,3758380,3069525,4665686,4720964
385,3392249,5075250,3757848,3069403,4665316,4722887
386,3391372,5074036,3757581,3069525,4665070,4723349
387,3391172,5074230,3757509,3069135,4664947,4722400
388,3392725,5073624,3757654,3069281,4664947,4723544
389,3392324,5073308,3757727,3069183,4664701,4723301
390,3391823,5073454,3758041,3069208,4664603,4723301
391,3393100,5073696,3758041,3068842,4664923,4722692
392,3392650,5072726,3758235,3068842,4665218,4723106
393,3392650,5072992,3758598,3068525,4665218,4723398
394,3393702,5072289,3759082,3068501,4665415,4722229
395,3396231,5072289,3759252,3068354,4665956,4722984
396,3396131,5071609,3759107,3068525,4666375,4723519
397,3396783,5071124,3758719,3068281,4666817,4723276
398,3398411,5071196,3758332,3068159,4667285,4724201
399,3397384,5071294,3758550,3068013,4667358,4723909
400,3397734,5071245,3758065,3067501,4667432,4722716
401,3399388,5070881,3758404,3067427,4667899,4722716
402,3398411,5070032,3758404,3067281,4667728,4723909
403,3397459,5070638,3758501,3067281,4667949,4723860
404,3397459,5069886,3758162,3067550,4667949,4723593
405,3398085,5070687,3757944,3067964,4668367,4724542
406,3395906,5070687,3757557,3067769,4668588,4724225
407,3395705,5071294,3757267,3067501,4668835,4724590
408,3396832,5070735,3757267,3067769,4669179,4725467
409,3395305,5070833,3757097,3068086,4669991,4725199
410,3394904,5070930,3757630,3068232,4670335,4724371
411,3396182,5070517,3757605,3068549,4670016,4724371
412,3394954,5071148,3757290,3069183,4670581,4724566
413,3394353,5071003,3757484,3069598,4670753,4724006
414,3393977,5070808,3757484,3069598,4670606,4724079
415,3393977,5071342,3757290,3069573,4670606,4724639
416,3391948,5071342,3757509,3069915,4670877,4724566
417,3392023,5071342,3757170,3070086,4670729,4723885
418,3392975,5071196,3756613,3070305,4671319,4724396
419,3392675,5071173,3756903,3070257,4671861,4723325
420,3393151,5070396,3756685,3070135,4672131,4722424
421,3394578,5071245,3757121,3070086,4672451,4723155
422,3394127,5071270,3756637,3070159,4672795,4723155
423,3394929,5070905,3756976,3069842,4672870,4722351
424,3396182,5071391,3757097,3069842,4672697,4722254
425,3395906,5071464,3757097,3069427,4672697,4721816
426,3395906,5072192,3756928,3068793,4672599,4720234
427,3397559,5072289,3756564,3068379,4672599,4719649
428,3398010,5072289,3756976,3068111,4672426,4720258
429,3397559,5072192,3756976,3067891,4672697,4718919
430,3398210,5072240,3756952,3068086,4672181,4718603
431,3398661,5071342,3757170,3068330,4672943,4719649
432,3397108,5071391,3757048,3068891,4671910,4719163
433,3398010,5071366,3757363,3069257,4672303,4719163
434,3397759,5071949,3757484,3069793,4672525,4718457
435,3395505,5072361,3757363,3069793,4672230,4718798
436,3396507,5072507,3757363,3069818,4672230,4718092
437,3396507,5072337,3757460,3069769,4672058,4717629
438,3395931,5071828,3757412,3070110,4671935,4717921
439,3393902,5071828,3757412,3070671,4672181,4717045
440,3394478,5072192,3757097,3070817,4672918,4716242
441,3393752,5071561,3756758,3071256,4672353,4717069
442,3391497,5072119,3756201,3071719,4672549,4716558
443,3391422,5072070,3755692,3072012,4672722,4716266
444,3389970,5071973,3755426,3072305,4672870,4716266
445,3389494,5072434,3755184,3072305,4672845,4717045
446,3389819,5072216,3754676,3072158,4672205,4716217
447,3388216,5071803,3754676,3072036,4672205,4716558
448,3388216,5071876,3754748,3071842,4672181,4716802
449,3387891,5071609,3755087,3071671,4672525,4715901
450,3388892,5071609,3755111,3071866,4672697,4715658
451,3387665,5071828,3755499,3071817,4672918,4716217
452,3388667,5071803,3755547,3071525,4672795,4714903
453,3389995,5071439,3755523,3071695,4672943,4715536
454,3389118,5072483,3755813,3071866,4672722,4715025
455,3389369,5072046,3756322,3072476,4673165,4715025
456,3390746,5072410,3756734,3072476,4672697,4714416
457,3390871,5073017,3757097,3071866,4672697,4714757
458,3391673,5072337,3757097,3071842,4672599,4714514
459,3391673,5071755,3757388,3071988,4672672,4713370
460,3393626,5072677,3757267,3071525,4672476,4713735
461,3392725,5072677,3757630,3071549,4672402,4713784
462,3394679,5072774,3757460,3071597,4672476,4712737
463,3395906,5072410,3757290,3071817,4672131,4713443
464,3396507,5072604,3757290,3072256,4672230,4712858
465,3398110,5072531,3757218,3072890,4672033,4712858
466,3399537,5071876,3756928,3073353,4671689,4711788
467,3398686,5072677,3756782,3073353,4671713,4712566
468,3399537,5071925,3756952,3073865,4671713,4711690
469,3399537,5072264,3756952,3074451,4671319,4711228
470,3400214,5072459,3757170,3074670,4671098,4712348
471,3398961,5071998,3757121,3075085,4671393,4711617
472,3400239,5071998,3757363,3075231,4670975,4712201
473,3400565,5071973,3756782,3075451,4670753,4713784
474,3399337,5072094,3756807,3075865,4670729,4713297
475,3401967,5071828,3756394,3075865,4670138,4714027
476,3403320,5072774,3755983,3075963,4670507,4714027
477,3404522,5072871,3756104,3075963,4669843,4714879
478,3407929,5072216,3756588,3075743,4669966,4714319
479,3408305,5073066,3756758,3076011,4669966,4714854
480,3408305,5072677,3757073,3076207,4669843,4715025
481,3408454,5072361,3757073,3076377,4669671,4713321
482,3410433,5071998,3757363,3076256,4669573,4713516
483,3410584,5071998,3757460,3075865,4669942,4714076
484,3410183,5072434,3757775,3075548,4669548,4713126
485,3412738,5072046,3757194,3074914,4669671,4713321
486,3412763,5072240,3757242,3075012,4669474,4713370
487,3412763,5072143,3756492,3075207,4669548,4713370
488,3415393,5073162,3756758,3075207,4669573,4713005
489,3414691,5073041,3757048,3075085,4669573,4713102
490,3415868,5072774,3757388,3075378,4670163,4713005
491,3415868,5072531,3757533,3075548,4670385,4711568
492,3417747,5072119,3757533,3075670,4670655,4711422
493,3416846,5072798,3757727,3075109,4670901,4711496
494,3417772,5072798,3758162,3074792,4671172,4710473
495,3419426,5072822,3758114,3074695,4670901,4711496
496,3417597,5072604,3758017,3074719,4671959,4710863
497,3418574,5072556,3757775,3075012,4671418,4710084
498,3418950,5072337,3757218,3075158,4671049,4710084
499,3417447,5072968,3757218,3075158,4671024,4710741
500,3418123,5072920,3757024,3075378,4671024,4710084
501,3418148,5072313,3757194,3075548,4670950,4709086
502,3418148,5073114,3757581,3075378,4670557,4710011
503,3417121,5072459,3757581,3075768,4670459,4708453
504,3418699,5072798,3757388,3075499,4670409,4708112
505,3420352,5072798,3757581,3075378,4670163,4709110
506,3419976,5072944,3757920,3075499,4670581,4708112
507,3422381,5073842,3758017,3075451,4669966,4708161
508,3423483,5073187,3757896,3075548,4669376,4708769
509,3423784,5074230,3757654,3075548,4668859,4708769
510,3426714,5074206,3757557,3075743,4668097,4707650
511,3428468,5074327,3757218,3075939,4668097,4707333
512,3428468,5074012,3757194,3075621,4667653,4707211
513,3428468,5074400,3757388,3075719,4667309,4706676
514,3428117,5074109,3757388,3075597,4666719,4705800
515,3426163,5074206,3757436,3075719,4666768,4706701
516,3424635,5074206,3757533,3075987,4666325,4704680
517,3424385,5074279,3757509,3076329,4666177,4704680
518,3422857,5074109,3757799,3076085,4666423,4704705
519,3423608,5074206,3757775,3075841,4665636,4704705
520,3426940,5074497,3757509,3075841,4665488,4703366
521,3427942,5073745,3756928,3075670,4665488,4703561
522,3428593,5074157,3757000,3075353,4665440,4703244
523,3429595,5073357,3756734,3075280,4665070,4701102
524,3429595,5073745,3756709,3075646,4665095,4701516
525,3426789,5074085,3756709,3075768,4664775,4700445
526,3423759,5073842,3756928,3076548,4664504,4698620
527,3421755,5073842,3756637,3076938,4664357,4697159
528,3417422,5074255,3756734,3076695,4664431,4695285
529,3413815,5073527,3756709,3077109,4664480,4692218
530,3410984,5073624,3756685,3077109,4664751,4692218
531,3407252,5073575,3756758,3077085,4664308,4689930
532,3403545,5073357,3756928,3076938,4664308,4687204
533,3396908,5073575,3756613,3076938,4664234,4682360
534,3386187,5073527,3756758,3076914,4664529,4677151
535,3386187,5073162,3756807,3076963,4664283,4670166
536,3375968,5073332,3756734,3077206,4664086,4660989
537,3362192,5074109,3756734,3077524,4663865,4654418
538,3344984,5074109,3756734,3077548,4663767,4648065
539,3328904,5073308,3756782,3077475,4663791,4641493
540,3311646,5073915,3756734,3077158,4663201,4636673
541,3292008,5074546,3756807,3077158,4662930,4636673
542,3274400,5073624,3756394,3076914,4662438,4630978
543,3255490,5074133,3756928,3076743,4662438,4625453
544,3232521,5073769,3756782,3076768,4663201,4621437
545,3213660,5073696,3756443,3076889,4663127,4616593
546,3213660,5073963,3756588,3077377,4662512,4613307
547,3190817,5074036,3756709,3077304,4662216,4610070
548,3167823,5073842,3756709,3077426,4661602,4607295
549,3146407,5073842,3756709,3077377,4661060,4606127
550,3127421,5074133,3756709,3077475,4660691,4604837
551,3107534,5074764,3757073,3077963,4660617,4602719
552,3088798,5074570,3756855,3077963,4660322,4602719
553,3071866,5074667,3757024,3078426,4660322,4601405
554,3056036,5074715,3756855,3079109,4660076,4600577
555,3043813,5074522,3757460,3079426,4660003,4599190
556,3027106,5074983,3757000,3079548,4659486,4598922
557,3027106,5074983,3757242,3079621,4659387,4600772
558,3006818,5075516,3757024,3079840,4658378,4602524
559,2990637,5075128,3757024,3080109,4657001,4605859
560,2975083,5075128,3756637,3080401,4656779,4611238
561,2964237,5074983,3757000,3081157,4656287,4615059
562,2987030,5075468,3757121,3081157,4655303,4623189
563,3012353,5075516,3756976,3081864,4654836,4623189
564,3015885,5074692,3756952,3082645,4654836,4629444
565,3032842,5075395,3757242,3083547,4654270,4635919
