被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
140,4357155,4391761,3571885,2957348,4264149,5053818
141,4349289,4391761,3572514,2956958,4264247,5053964
142,4348413,4391834,3572320,2956811,4264395,5060511
143,4348413,4391567,3572247,2956884,4264443,5059295
144,4354825,4391567,3572224,2957177,4264075,5054524
145,4353648,4391446,3571860,2957494,4264443,5058686
146,4346835,4390887,3571860,2957835,4264468,5061437
147,4351845,4391009,3571643,2958031,4264395,5055644
148,4353873,4390450,3571643,2958031,4264395,5055254
149,4347110,4389990,3571933,2958421,4264050,5062191
150,4347336,4390329,3571836,2958567,4263853,5062191
151,4355076,4390208,3571643,2958104,4264124,5062751
152,4356002,4390208,3571521,2958031,4263681,5056544
153,4350041,4389601,3571376,2958177,4263952,5059197
154,4350041,4390232,3571158,2958104,4263779,5063992
155,4352495,4390281,3571449,2958494,4263853,5058832
156,4358557,4389917,3571013,2958640,4263656,5058199
157,4353147,4389601,3570940,2958933,4263386,5064966
158,4352245,4389577,3570940,2958665,4263090,5064187
159,4358807,4389553,3570940,2958665,4263090,5057639
160,4359809,4389820,3571328,2958470,4262992,5058565
161,4352746,4389965,3570916,2957958,4263263,5058565
162,4352646,4389140,3570577,2958128,4263779,5063992
163,4359910,4389140,3570843,2958933,4263730,5060122
164,4359734,4389674,3570480,2959152,4263927,5057883
165,4359734,4389359,3570408,2959226,4263730,5064284
166,4352170,4389601,3570989,2959543,4263976,5064990
167,4352972,4389553,3570747,2958762,4263730,5059124
168,4359509,4389529,3571013,2958689,4263853,5059441
169,4355025,4389529,3571110,2958689,4263632,5066353
170,4352170,4389189,3571110,2957860,4263632,5066548
171,4358457,4389674,3570722,2957567,4263238,5060171
172,4358783,4389407,3570940,2957445,4263435,5060171
173,4352045,4389164,3571037,2957811,4262697,5059684
174,4352095,4389164,3571279,2958104,4262746,5065866
175,4359284,4389334,3570819,2958299,4261984,5063554
176,4359284,4388436,3571545,2958348,4261639,5059051
177,4357630,4388291,3571521,2957884,4261295,5065088
178,4352295,4389116,3571134,2957835,4260704,5065574
179,4357455,4388994,3571328,2958055,4260556,5059173
180,4358858,4388509,3571182,2958055,4260556,5059197
181,4352420,4388558,3571182,2958055,4260483,5066280
182,4352370,4388533,3571134,2957494,4260630,5065599
183,4360261,4388364,3571424,2956835,4260384,5065599
184,4360586,4387951,3571328,2956738,4260261,5060171
185,4354149,4387951,3571594,2956958,4259523,5064333
186,4355100,4387514,3571424,2957055,4259523,5066718
187,4355100,4388218,3571328,2957421,4259006,5061047
188,4362866,4387660,3571521,2957519,4259277,5060390
189,4363066,4387514,3571836,2957884,4259253,5066621
190,4357605,4387854,3571860,2957909,4259622,5066499
191,4361212,4387271,3572247,2957909,4259622,5060073
192,4365445,4387708,3572247,2957519,4259523,5060585
193,4359759,4387247,3571885,2956543,4259449,5066718
194,4359785,4386932,3572054,2955226,4259572,5066718
195,4367724,4387077,3572417,2954738,4259474,5066061
196,4368176,4387077,3572296,2954129,4259425,5060755
197,4361663,4387101,3572078,2954275,4259425,5063408
198,4361663,4387441,3572369,2954421,4259597,5068520
199,4363291,4387441,3571981,2954934,4259031,5063992
200,4370755,4386616,3572272,2954885,4259646,5063506
201,4368601,4387733,3572708,2954885,4259056,5070199
202,4363366,4387029,3572877,2955324,4259056,5071367
203,4368952,4387757,3572877,2955665,4259425,5065380
204,4369879,4387199,3573071,2956006,4259105,5065380
205,4362740,4387611,3572998,2955738,4259548,5065964
206,4362640,4387611,3573265,2955689,4259400,5072560
207,4369453,4387611,3572853,2955007,4260138,5071441
208,4367825,4386956,3573192,2954787,4259868,5067278
209,4367825,4387805,3573168,2954568,4260065,5071952
210,4362264,4386859,3573652,2954105,4260114,5074434
211,4367299,4386956,3573337,2953763,4260163,5068738
212,4369303,4387417,3573265,2953763,4260163,5069469
213,4361889,4387538,3573241,2953056,4260236,5076503
214,4361037,4386908,3573241,2953153,4260114,5076187
215,4367048,4386665,3573192,2953324,4260335,5076187
216,4365896,4386786,3573095,2953763,4259942,5069956
217,4358106,4386956,3573482,2953495,4260089,5073655
218,4357856,4386956,3573410,2952934,4259597,5075554
219,4364769,4386810,3573870,2952495,4259769,5068787
220,4364769,4386956,3573967,2951983,4260188,5068325
221,4359759,4386762,3573580,2951690,4260212,5074629
222,4357480,4386447,3573531,2951812,4260384,5075189
223,4364518,4386665,3573701,2951812,4260384,5069079
224,4364469,4386713,3573628,2951763,4260236,5069347
225,4357129,4387126,3573628,2951690,4260311,5075554
226,4357705,4387126,3573362,2952324,4260409,5075554
227,4364569,4387053,3573362,2952836,4260089,5072511
228,4364343,4387005,3573410,2953178,4260040,5068154
229,4356929,4387005,3573652,2953300,4260360,5073801
230,4357054,4387101,3573797,2953202,4260630,5074191
231,4357054,4387175,3573725,2952763,4260754,5067327
232,4361788,4387320,3573313,2952227,4260261,5067546
233,4358006,4387951,3573071,2952227,4260754,5073509
234,4352972,4387296,3573410,2952202,4260754,5072025
235,4357856,4387903,3572998,2952251,4260852,5065988
236,4358682,4387830,3572998,2952519,4261541,5067692
237,4351544,4388145,3572998,2952373,4261516,5067692
238,4351519,4388266,3573725,2952739,4261664,5070978
239,4358432,4387975,3573386,2952519,4261688,5066913
240,4357705,4387975,3573313,2952105,4261959,5063579
241,4357705,4388024,3573143,2952056,4262180,5068106
242,4349966,4388558,3573410,2952251,4262623,5069031
243,4351193,4388218,3572974,2952153,4262721,5062410
244,4356779,4388412,3572974,2952153,4262525,5061753
245,4352220,4388558,3573458,2952324,4262525,5067887
246,4350141,4388703,3573143,2952592,4262525,5067984
247,4358257,4388242,3573168,2953129,4262869,5061461
248,4359183,4388582,3573168,2953324,4262919,5061461
249,4352947,4389067,3573725,2953617,4262919,5063311
250,4354424,4388485,3573216,2953592,4263164,5067400
251,4361638,4388485,3572998,2954031,4263066,5062799
252,4361638,4388485,3573143,2954227,4263238,5060852
253,4358807,4388679,3573241,2953982,4263140,5066864
254,4356603,4389334,3573507,2954519,4263853,5066792
255,4363667,4389286,3573604,2954519,4263853,5060049
256,4364669,4388946,3573701,2954495,4263706,5060511
257,4357505,4388606,3573482,2954495,4263804,5066767
258,4357229,4388946,3573337,2954227,4264222,5066767
259,4364318,4388631,3573337,2953836,4264665,5063554
260,4362264,4388946,3573555,2953836,4265551,5060317
261,4357530,4388679,3573362,2954251,4265846,5066158
262,4363341,4388679,3573362,2954470,4266510,5065915
263,4363341,4388946,3573168,2954397,4267003,5059222
264,4366347,4388728,3573604,2954105,4267593,5058224
265,4360861,4388509,3573482,2954227,4267839,5064138
266,4361312,4388631,3573918,2954227,4267839,5062069
267,4369428,4389674,3573555,2953885,4268429,5057201
268,4369879,4389795,3573604,2953738,4268847,5062410
269,4363316,4389213,3573313,2953812,4269782,5062410
270,4364469,4389892,3573313,2954299,4269955,5064382
271,4371006,4389625,3573580,2954787,4270742,5058832
272,4368877,4389553,3573846,2954860,4271012,5059757
273,4364794,4389553,3573943,2955494,4271603,5067059
274,4364794,4389892,3573918,2955324,4271480,5068033
275,4369553,4388776,3574209,2955275,4271628,5062240
276,4372584,4389286,3573943,2955275,4272218,5063481
277,4366923,4389189,3574039,2955129,4272218,5069323
278,4366998,4388655,3573773,2955153,4272095,5066621
279,4374713,4388461,3573701,2954885,4272563,5062459
280,4375214,4388873,3574257,2955519,4272563,5062459
281,4368451,4387999,3574257,2955543,4272809,5067400
282,4369177,4388582,3574209,2956275,4272882,5068617
283,4375690,4388291,3574112,2956421,4272956,5062289
284,4373886,4388291,3574185,2956470,4273202,5061607
285,4373886,4387927,3573870,2956348,4272612,5067497
286,4368777,4387660,3573531,2956153,4273005,5067351
287,4372433,4387636,3574112,2956153,4272636,5060901
288,4377844,4387636,3574161,2956470,4272636,5061924
