被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,4419873,7283114,4463200,3480922,5808765,5075213
1,4420750,7283308,4463708,3481678,5808839,5073095
2,4421276,7283308,4463708,3481678,5808716,5071684
3,4421026,7283235,4464386,3483165,5808667,5069250
4,4421026,7283721,4464192,3484629,5808298,5069250
5,4421627,7283405,4464871,3485872,5808224,5068398
6,4421777,7284012,4463999,3485409,5807535,5066353
7,4423405,7284012,4463902,3485092,5807535,5064820
8,4421977,7283600,4463490,3485726,5806526,5063919
9,4421451,7282386,4462522,3486409,5806526,5065014
10,4419823,7282119,4461602,3486848,5805739,5065014
11,4418446,7279644,4460560,3486628,5804410,5065648
12,4418496,7279207,4460367,3486628,5804017,5064917
13,4418345,7279207,4460367,3487408,5803402,5063189
14,4418045,7278236,4460851,3488823,5802713,5063384
15,4418045,7278285,4460415,3490481,5801212,5064017
16,4416116,7277605,4460802,3492505,5800892,5067424
17,4415239,7277775,4460487,3494383,5799736,5070662
18,4414137,7276440,4460972,3498017,5798875,5073095
19,4413411,7275203,4461747,3498407,5797768,5074093
20,4411984,7274814,4461892,3497821,5797768,5076479
21,4410606,7274548,4461868,3496846,5796341,5076479
22,4407851,7272848,4462400,3496773,5795382,5078913
23,4406423,7273164,4463175,3496773,5794963,5083440
24,4405546,7273164,4464120,3497309,5794200,5087481
25,4404770,7272897,4464120,3498139,5793954,5089525
26,4404770,7273504,4465258,3500796,5793856,5092957
27,4403092,7273528,4467292,3502235,5793388,5097752
28,4401038,7273650,4470440,3503065,5793044,5103983
29,4400311,7273043,4473224,3503113,5792823,5109655
30,4400762,7273674,4475936,3501845,5792823,5113744
31,4400612,7273722,4478745,3498919,5793044,5113744
32,4400186,7274353,4481360,3495383,5793511,5115715
33,4399209,7274474,4483442,3492018,5793807,5119999
34,4397055,7275154,4485452,3492018,5794029,5124040
35,4395953,7275154,4486978,3488237,5794250,5129078
36,4395026,7276222,4486978,3485482,5793585,5132242
37,4395026,7276028,4488237,3483970,5793881,5134920
38,4394250,7276101,4487341,3484921,5792232,5134847
39,4392246,7277023,4485549,3486506,5790953,5134068
40,4389215,7275251,4485138,3488140,5789920,5132973
41,4386560,7273746,4484532,3489579,5789920,5133143
42,4384381,7272242,4484242,3490237,5788542,5133143
43,4382227,7270591,4483830,3490213,5786721,5132145
44,4380449,7268893,4482982,3490213,5785393,5130612
45,4377693,7267340,4483152,3490798,5783351,5129735
46,4374738,7266757,4482159,3491359,5782662,5130101
47,4371281,7266757,4482159,3491432,5780915,5131804
48,4371281,7265835,4481069,3492164,5780153,5133484
49,4368927,7265325,4480367,3492140,5779316,5134117
50,4367274,7264573,4479278,3492749,5778578,5133581
51,4365195,7264281,4478479,3494529,5777003,5133751
52,4362540,7264063,4478334,3496578,5777003,5133727
53,4359559,7263626,4478479,3499309,5776487,5133727
54,4356503,7263311,4478236,3503138,5775946,5136526
55,4353222,7262486,4478672,3503138,5776093,5136551
56,4350517,7260787,4479835,3507942,5775453,5137524
57,4346209,7259889,4480149,3513843,5775871,5136770
58,4342076,7259889,4480149,3519818,5774445,5137500
59,4342076,7259185,4480513,3526037,5775257,5138936
60,4338194,7258117,4480634,3530768,5774125,5141857
61,4336891,7257365,4479835,3534376,5773756,5142490
62,4336540,7256613,4478915,3536498,5773461,5142903
63,4336665,7255812,4478334,3538522,5773461,5142052
64,4337017,7255715,4477631,3540010,5773165,5142052
65,4338769,7253822,4476953,3540010,5771787,5142611
66,4338995,7253482,4476348,3540181,5772009,5141297
67,4339646,7252317,4475767,3540010,5770779,5142076
68,4341350,7252657,4475282,3539668,5770508,5140737
69,4342977,7252657,4475282,3538035,5769500,5139009
70,4342977,7251152,4474507,3534815,5769967,5136137
71,4343804,7251152,4473030,3531792,5769377,5134774
72,4344931,7250570,4470585,3528183,5769081,5134749
73,4345157,7250011,4467994,3524134,5769081,5135041
74,4345733,7249842,4466154,3520281,5768565,5135528
75,4347060,7250546,4464507,3515770,5767703,5135528
76,4347486,7249890,4463079,3515770,5767310,5132681
77,4348263,7249381,4461844,3512453,5767359,5131050
78,4347035,7249016,4461117,3509576,5767212,5129468
79,4347236,7248846,4459882,3506674,5766867,5130295
80,4346434,7248846,4459882,3504259,5766769,5129979
81,4346434,7248288,4459834,3502041,5766104,5129297
82,4345958,7247876,4459446,3499870,5766031,5128178
83,4345457,7246832,4460342,3498529,5764948,5128056
84,4343729,7246274,4459374,3497846,5764948,5128665
85,4341926,7245594,4458744,3498163,5764776,5128665
86,4341325,7244964,4459132,3499163,5763915,5128835
87,4341199,7244187,4459906,3499163,5763619,5128104
88,4340348,7243338,4460439,3500845,5763005,5126547
89,4340147,7243338,4461650,3502748,5763177,5126352
90,4338794,7242270,4463514,3504284,5761553,5126255
91,4341099,7242270,4463514,3506552,5760790,5128762
