被试ID:130123xx
被试姓名:Test
被试性别:男
被试生日:2026/4/15
设备ID:
采样率:100
数据单位:






104,3525622,5645749,4641845,5391950,6308608,5068078
105,3525500,5645604,4641676,5390843,6306977,5069581
106,3525061,5645410,4641554,5390400,6307342,5069581
107,3525085,5645580,4641554,5389932,6309606,5067527
108,3525159,5645580,4641651,5389932,6307294,5068003
109,3525208,5646041,4641506,5389342,6307294,5069581
110,3524695,5644706,4641458,5388653,6309022,5066801
111,3524330,5644779,4641772,5388432,6309898,5068354
112,3524183,5645216,4641748,5387743,6307610,5068204
113,3523647,5645216,4641869,5387571,6309436,5065198
114,3523378,5645337,4641409,5387005,6309533,5066901
115,3523378,5644827,4641554,5386291,6307391,5066926
116,3523647,5644658,4641385,5385504,6309314,5064922
117,3523232,5645094,4641409,5383880,6308852,5064922
118,3523256,5644609,4641409,5382995,6307002,5066200
119,3523159,5644609,4641095,5382995,6309922,5065624
120,3523062,5643590,4641022,5381740,6309922,5064797
121,3523208,5642182,4640828,5380461,6307878,5066851
122,3523086,5641236,4640901,5379624,6308048,5065073
123,3523256,5639828,4641070,5378788,6309922,5065724
124,3523183,5638226,4641118,5377976,6307780,5067352
125,3523403,5636527,4641288,5377557,6308949,5065573
126,3523403,5636285,4640973,5376524,6310628,5066200
127,3522622,5637644,4641990,5376032,6308559,5068153
128,3522574,5639658,4641821,5376057,6310214,5068153
129,3521988,5641332,4641821,5376057,6311237,5066149
130,3521794,5641332,4641797,5375663,6309752,5068454
131,3521720,5641915,4641869,5375565,6309752,5069581
132,3521842,5642109,4641748,5374655,6312259,5068078
133,3521817,5640920,4641724,5374261,6312478,5071359
134,3521379,5641139,4641821,5374384,6312064,5070883
135,3521232,5640993,4641966,5374335,6314863,5070909
136,3521232,5641187,4641748,5374359,6313232,5073964
137,3520794,5641478,4641458,5373843,6314011,5073313
138,3521037,5642012,4642039,5373375,6316007,5073313
139,3520964,5642182,4642112,5373547,6314888,5073313
140,3520891,5641769,4642112,5373547,6314961,5076820
141,3521110,5641769,4641966,5373031,6316762,5075267
142,3520671,5642279,4641288,5372539,6316762,5075367
143,3520184,5642789,4641022,5372096,6315375,5076995
144,3519842,5643032,4641264,5371382,6316567,5074916
145,3519574,5641818,4641361,5370792,6317955,5076168
146,3519330,5642134,4641506,5370152,6315886,5076970
147,3519330,5641988,4641797,5369463,6317735,5075392
148,3519379,5641236,4641772,5368799,6318344,5077797
149,3519477,5641672,4641845,5368356,6316592,5077797
150,3519574,5642182,4641942,5367667,6318344,5077897
151,3519671,5641406,4641942,5367667,6318149,5076620
152,3519891,5641406,4642160,5367224,6318149,5079374
153,3520086,5641891,4642305,5366757,6315545,5079149
154,3520550,5641527,4642063,5365970,6317468,5078172
155,3520574,5641794,4642039,5365306,6316397,5081128
156,3520720,5641139,4642039,5364666,6315107,5080777
157,3520720,5640823,4641821,5364469,6316835,5079875
158,3520574,5641114,4641385,5364641,6315545,5081904
159,3520306,5640799,4641578,5365576,6315667,5080702
160,3520110,5641066,4641578,5366289,6317200,5080702
161,3520208,5641454,4642039,5366289,6315204,5081429
162,3520257,5641551,4642039,5367495,6316251,5082380
163,3520428,5641551,4641845,5368627,6316251,5080076
164,3520403,5642400,4641966,5369439,6317079,5079300
165,3520501,5643517,4642014,5370472,6315545,5080427
166,3520696,5643371,4642087,5371284,6316470,5076995
167,3520574,5643978,4641869,5372022,6316713,5077697
168,3520574,5644463,4641869,5372981,6313695,5077421
169,3520598,5644366,4642136,5373966,6315326,5074641
170,3520623,5643663,4642257,5374778,6315983,5075367
171,3521379,5644123,4642474,5375639,6314279,5075367
172,3521452,5643517,4642184,5375639,6316884,5074516
173,3520940,5644293,4642547,5376623,6316738,5072336
174,3521232,5644293,4642547,5377730,6316738,5074040
175,3521476,5645191,4642257,5378862,6315229,5073914
176,3521574,5646647,4642499,5379501,6317443,5072437
177,3521817,5646987,4642693,5380608,6316835,5073463
178,3521817,5647108,4642983,5381100,6315594,5072111
179,3522305,5647375,4642935,5381519,6317760,5070257
180,3522549,5647497,4643516,5382084,6316227,5071760
181,3522720,5648298,4643661,5382675,6315594,5069882
182,3522305,5648128,4643830,5383413,6318076,5069882
183,3522525,5647885,4643637,5383413,6316105,5068955
184,3522574,5648103,4643443,5384077,6316129,5070107
185,3522793,5648103,4643443,5384299,6316129,5068279
186,3522988,5647715,4643467,5384225,6319050,5067903
187,3523134,5647497,4643395,5384225,6317492,5069506
188,3523208,5647375,4643298,5383413,6318174,5066475
189,3523208,5647594,4643007,5383290,6319975,5067251
190,3523281,5647545,4643661,5383339,6318247,5068854
191,3523427,5647182,4642741,5382773,6320486,5066726
192,3523744,5647108,4642935,5383856,6320851,5068754
193,3523403,5646599,4643225,5383856,6318758,5068754
194,3523403,5646477,4643055,5383806,6321216,5069581
195,3522866,5645556,4642620,5383979,6321216,5068279
196,3522549,5645556,4642620,5384003,6320730,5071485
197,3522476,5645701,4642572,5383880,6319147,5071660
198,3522427,5644852,4642620,5383585,6321192,5071310
199,3522744,5643711,4642717,5383093,6319610,5074265
200,3522622,5643420,4643032,5382060,6319391,5074616
201,3523256,5642692,4642959,5381764,6321119,5074866
202,3523256,5642303,4643177,5381297,6319147,5075943
203,3523476,5642449,4643395,5381395,6318441,5074215
204,3523134,5642522,4643153,5381395,6320267,5074215
205,3522793,5642400,4643443,5382011,6317297,5074365
206,3522793,5642910,4643806,5382281,6318661,5076920
207,3523037,5642449,4643806,5381888,6318661,5074491
208,3522086,5642667,4643928,5382429,6319902,5075667
209,3522135,5642667,4644145,5382158,6317784,5077872
210,3522062,5641818,4643928,5381347,6319658,5076168
211,3522037,5640774,4644266,5381322,6321119,5077847
212,3522305,5641041,4644049,5380239,6319147,5079901
213,3522305,5641260,4643976,5379944,6321703,5078498
214,3522574,5641041,4644121,5379599,6321605,5082230
215,3522671,5640556,4644097,5379599,6318490,5082230
216,3522940,5640386,4644387,5379722,6320656,5083132
217,3522744,5640532,4644387,5379969,6320656,5082255
218,3522574,5640411,4644387,5379722,6318953,5085061
219,3522354,5640386,4644436,5380165,6318076,5085211
220,3522135,5640386,4644291,5379969,6319731,5084209
221,3521940,5640508,4644291,5379280,6318198,5086714
222,3522062,5641066,4643879,5378837,6318198,5086163
223,3522062,5641187,4643879,5377804,6320048,5086012
224,3522037,5641114,4643782,5377213,6318466,5088342
225,3522525,5639513,4644000,5377213,6318125,5087165
226,3523013,5639173,4644000,5377213,6319853,5087165
227,3523330,5638954,4644145,5377065,6317346,5087039
228,3523647,5638323,4644121,5377730,6317346,5088592
229,3523476,5637959,4643830,5378493,6317930,5086739
230,3523354,5638590,4643830,5378714,6319512,5087165
231,3523330,5638590,4643928,5379083,6317127,5088792
232,3523622,5637983,4643951,5379034,6318514,5087214
233,3523598,5638445,4644097,5379083,6318295,5089018
234,3523598,5639173,4643903,5378862,6315886,5089444
235,3524281,5639124,4643709,5378862,6318393,5087390
236,3524354,5638809,4643516,5378862,6318320,5088768
237,3523939,5638178,4643249,5378788,6316299,5088768
238,3523524,5638275,4643104,5378935,6318271,5089469
239,3523403,5637255,4642838,5378788,6318271,5087114
240,3523452,5637304,4643055,5378689,6317541,5089669
241,3523671,5638178,4643055,5379009,6315959,5089068
242,3523452,5638178,4643419,5379009,6318222,5087490
243,3523183,5637450,4643564,5379157,6316592,5089845
244,3523183,5638445,4643467,5379624,6315837,5088392
245,3523208,5637959,4642644,5379575,6317857,5086714
246,3523086,5636382,4642353,5379870,6315667,5088592
247,3523354,5637255,4642426,5379870,6315789,5086463
248,3523549,5636988,4642112,5380190,6317079,5086463
249,3523842,5636357,4641990,5379255,6315204,5086964
250,3523891,5637037,4642305,5379157,6315204,5088517
251,3523988,5637255,4642039,5379206,6315789,5087089
252,3524061,5636600,4642039,5379428,6316932,5086889
253,3523720,5636600,4642378,5379649,6314352,5088492
254,3523817,5636552,4642063,5379575,6315642,5087189
255,3523817,5636164,4641699,5379747,6315935,5087465
256,3524330,5636333,4641676,5380117,6313208,5089569
257,3524573,5636988,4641578,5380117,6315107,5088191
258,3524793,5636357,4641845,5380264,6314352,5089419
259,3525085,5636406,4641458,5380608,6312259,5089419
260,3525159,5636770,4641797,5380805,6313573,5090796
261,3524988,5636649,4641458,5380830,6313573,5089143
262,3525354,5636722,4640973,5381248,6313086,5091898
263,3525208,5635654,4640973,5380879,6312113,5092475
264,3525768,5635654,4641409,5381199,6314328,5090972
265,3526231,5636042,4641336,5381543,6313744,5092650
266,3526231,5635921,4641530,5381248,6312600,5092900
267,3526476,5635096,4641554,5381666,6315423,5091147
268,3526597,5635557,4641893,5381666,6314376,5094203
269,3526476,5636018,4642087,5382404,6313038,5094303
270,3526549,5637255,4641990,5382626,6315180,5094303
271,3526866,5637813,4641530,5383118,6315180,5092524
272,3526573,5637183,4641458,5383585,6312648,5095180
273,3526670,5637110,4641578,5383389,6312624,5094454
274,3526476,5636503,4641578,5383905,6314791,5093977
275,3526524,5636503,4641312,5384299,6312794,5095781
276,3526524,5635775,4641361,5383659,6313208,5093752
277,3526646,5635702,4640998,5382773,6314522,5093952
278,3526841,5634901,4640949,5382626,6312162,5095555
279,3527231,5635848,4641312,5382626,6313501,5093777
280,3527963,5636382,4641458,5382306,6314474,5094378
281,3528939,5636746,4641095,5381764,6312283,5094378
282,3529816,5638153,4641458,5378419,6312283,5095230
283,3530548,5639998,4641627,5370939,6314060,5093351
284,3531499,5641939,4641506,5354825,6314328,5095205
285,3532548,5641939,4641506,5334626,6312673,5096031
286,3533718,5644779,4641845,5311008,6314961,5093977
287,3533718,5646380,4642063,5286701,6315180,5096206
288,3535693,5648565,4642353,5265985,6313647,5096733
289,3537400,5650530,4642765,5265985,6314791,5095205
290,3539156,5650603,4643225,5250633,6313257,5096958
291,3539327,5650603,4643467,5242662,6312332,5097634
292,3539595,5650894,4642644,5237102,6313427,5097634
293,3539449,5649997,4642136,5232993,6313427,5096031
294,3538425,5649536,4642087,5228909,6312405,5098411
295,3537864,5649026,4641578,5229426,6311870,5097384
296,3537352,5648710,4641699,5233313,6314425,5096031
297,3537352,5648710,4641699,5241998,6312576,5097885
298,3537035,5649220,4641893,5252774,6313573,5095956
299,3536547,5649366,4641361,5272111,6316494,5095280
300,3536108,5648759,4641433,5272111,6315448,5096783
301,3535157,5648468,4641167,5289136,6316421,5094403
302,3533889,5646987,4640901,5303553,6318904,5094403
303,3532962,5645992,4640635,5318020,6316859,5094002
304,3532475,5643832,4641240,5329730,6316859,5095130
305,3532865,5642473,4641458,5338391,6317005,5093276
306,3532743,5642206,4641893,5345279,6318466,5092850
307,3532694,5640702,4642232,5350052,6316494,5094253
308,3532230,5640702,4642232,5354038,6317054,5091748
309,3531962,5639974,4642112,5357482,6318125,5092224
310,3531962,5638493,4641409,5360040,6315715,5092850
311,3530962,5635387,4641288,5360040,6317541,5090045
312,3530085,5634489,4641240,5362132,6317079,5090596
313,3528841,5632256,4640489,5364124,6315326,5090596
314,3528012,5630193,4640416,5365675,6316884,5090020
315,3527719,5628155,4640247,5367224,6316884,5087165
316,3527573,5626116,4640416,5368258,6316007,5088943
317,3527426,5623665,4640901,5368553,6315399,5088392
318,3527744,5621578,4640901,5368996,6318222,5086739
319,3527865,5621578,4640901,5369119,6316835,5089469
320,3528207,5619151,4640368,5369709,6317760,5088592
321,3528207,5618957,4640320,5369709,6320292,5088592
322,3528451,5617695,4640828,5370005,6319342,5090872
323,3528816,5616845,4640707,5370005,6321484,5089644
324,3528865,5616894,4640731,5370496,6322944,5089644
325,3528548,5616069,4641482,5370890,6320949,5090621
326,3528451,5615341,4641699,5370669,6320949,5092399
327,3528304,5615147,4641893,5371235,6322993,5091222
328,3527963,5614054,4641821,5371579,6322677,5092875
329,3527841,5614855,4641458,5372539,6321265,5091998
330,3527548,5614855,4641458,5374039,6322896,5089569
331,3527548,5614443,4641070,5375073,6321070,5091598
332,3527524,5613812,4641118,5375073,6319975,5090796
333,3526963,5614418,4640901,5375885,6321362,5089093
334,3526451,5613472,4640949,5376008,6319391,5091573
335,3526476,5612598,4641070,5376229,6319585,5091573
336,3526719,5612234,4640731,5376893,6321338,5089694
337,3526793,5611919,4640707,5375934,6321338,5090220
338,3526670,5611069,4640925,5375983,6318709,5092349
339,3527036,5610317,4640707,5375688,6320510,5091297
340,3526963,5609662,4640780,5375639,6320754,5093451
341,3526768,5609662,4640780,5376795,6318855,5094904
342,3526768,5610584,4640537,5377164,6320097,5093752
343,3526597,5609929,4640610,5377164,6318807,5097058
344,3526695,5610220,4640247,5377681,6316957,5097534
345,3526597,5610511,4640295,5378369,6318709,5095906
346,3526890,5610608,4639956,5378739,6317200,5095906
347,3526963,5611700,4639859,5379747,6317200,5098286
348,3527207,5611142,4639230,5380559,6315959,5098261
349,3527597,5611797,4638697,5381297,6318587,5096858
350,3527670,5613253,4638504,5381961,6316494,5099037
351,3527378,5613302,4638576,5381789,6317079,5097384
352,3527378,5613302,4638576,5382404,6318661,5096231
353,3527670,5614564,4638576,5382404,6316932,5098010
354,3527914,5614783,4638818,5382847,6317955,5094955
355,3528183,5616336,4638964,5384003,6318514,5095155
356,3528622,5616918,4639181,5385455,6315861,5095756
357,3529621,5618107,4638939,5387448,6318344,5095756
358,3530182,5619588,4639012,5389244,6318344,5093977
359,3530231,5622087,4639181,5391212,6318441,5094955
360,3530182,5623350,4639569,5393082,6316689,5096482
361,3530621,5626237,4639739,5394238,6318953,5093927
362,3531646,5628713,4639617,5395714,6317322,5095430
363,3531646,5628713,4639859,5396649,6317589,5094428
364,3532523,5629902,4639859,5396649,6321849,5093176
365,3532865,5631188,4639884,5397707,6320486,5094779
366,3533547,5632135,4639932,5398691,6322847,5091974
367,3534035,5633833,4640077,5398937,6324624,5091573
368,3534450,5634610,4640005,5399897,6324040,5091573
369,3534864,5634343,4640368,5400487,6324040,5091698
370,3535035,5634756,4640925,5401520,6326474,5088918
371,3535303,5635192,4640489,5402160,6326157,5089118
372,3535450,5635362,4640610,5403071,6324259,5088918
373,3535474,5636867,4640586,5403685,6325500,5086438
374,3535474,5636867,4640513,5403759,6324064,5087641
375,3535718,5637110,4640513,5403759,6322652,5085862
376,3535938,5637328,4640271,5403710,6324721,5083032
377,3536011,5637498,4640876,5404054,6322677,5083633
378,3535693,5638542,4640658,5404227,6323382,5080627
379,3535767,5638663,4640344,5404645,6324989,5080627
380,3535693,5638687,4640635,5404842,6324989,5079350
381,3536181,5638857,4640295,5404399,6323626,5080051
382,3536645,5639925,4640804,5404719,6325184,5077296
383,3537474,5639949,4640925,5405161,6326230,5077045
384,3537474,5640071,4641385,5405211,6324526,5077697
385,3537791,5640071,4641312,5405211,6325914,5074390
386,3537596,5640192,4641312,5405481,6325403,5075317
387,3537620,5640362,4641143,5405924,6323018,5074465
388,3537400,5640677,4641216,5406146,6325062,5071810
389,3537425,5640581,4640949,5406785,6322750,5072286
390,3537669,5641332,4641191,5407032,6322750,5072286
391,3537669,5643104,4641385,5407769,6321484,5070107
392,3537815,5643735,4641578,5407868,6323066,5067377
393,3537864,5644148,4641458,5407917,6321338,5068454
394,3538352,5645604,4641409,5408261,6320973,5066801
395,3538352,5645021,4641022,5408138,6321946,5064847
396,3537766,5645021,4640683,5408138,6319658,5065624
397,3537815,5646575,4640683,5408311,6320656,5062493
398,3538059,5645798,4640828,5408335,6321070,5061616
399,3538107,5645774,4640320,5408188,6318758,5062317
400,3537913,5646429,4640780,5408557,6320535,5058610
401,3537888,5645968,4641240,5408163,6320218,5058610
402,3538449,5646526,4640973,5406957,6320218,5058260
403,3538913,5646477,4640973,5407007,6318247,5057533
404,3539522,5646186,4641143,5406293,6320267,5054753
405,3539376,5645725,4641095,5405949,6319537,5055329
406,3539181,5645992,4640755,5405359,6318027,5055154
407,3539254,5645992,4640755,5405359,6319926,5052073
408,3539254,5644924,4640489,5405038,6318271,5053501
409,3538766,5644658,4640489,5405236,6316835,5052448
410,3538352,5645021,4640537,5404743,6318368,5049117
411,3538303,5646065,4640537,5404202,6315667,5051121
412,3538352,5646477,4640562,5403858,6314742,5051121
413,3538791,5645944,4640780,5403316,6314742,5050094
414,3538864,5646720,4640610,5403366,6316178,5047765
415,3538693,5646769,4640755,5403218,6314085,5049143
416,3538522,5646259,4640416,5402775,6313963,5048115
417,3538254,5646939,4641167,5402775,6315813,5048140
418,3538254,5646939,4641240,5402996,6312746,5049268
419,3538132,5647327,4641603,5403144,6313817,5046763
420,3537961,5648006,4641603,5402505,6314498,5045636
421,3537961,5649001,4641893,5402431,6312259,5046437
422,3538230,5648613,4641893,5402357,6313208,5043357
423,3538571,5648662,4642063,5402283,6313208,5043357
424,3538254,5648904,4642160,5402283,6313768,5041753
425,3537888,5647812,4642063,5402332,6312040,5042905
426,3537986,5647254,4642087,5402160,6312770,5039825
427,3537913,5646769,4642644,5402283,6312600,5039149
428,3537815,5648152,4642862,5402283,6310555,5039850
429,3537815,5648152,4642910,5401619,6311870,5037445
430,3537596,5648808,4642935,5401274,6312235,5037721
431,3537645,5648273,4642935,5401447,6310458,5039499
432,3537327,5649778,4642717,5401471,6312527,5038021
433,3537084,5650409,4642644,5401397,6312770,5040251
434,3536547,5650215,4642281,5401324,6312770,5040251
435,3536206,5651695,4642329,5401225,6311529,5041979
436,3536230,5652448,4642572,5401324,6314109,5040701
437,3536108,5652957,4642838,5400930,6314206,5044183
438,3536181,5654195,4642838,5401324,6313038,5046487
439,3535693,5654705,4642886,5401324,6315642,5046137
440,3535693,5654705,4642935,5401397,6314863,5049693
441,3535401,5655263,4642959,5400709,6314814,5051021
442,3534596,5655651,4642959,5399921,6317565,5050319
443,3534328,5654681,4643032,5398544,6317030,5053926
444,3534401,5654437,4643032,5397018,6316908,5054302
