被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,4511097,4567152,3667723,3070622,4278861,4850162
1,4505235,4566787,3668135,3070159,4279304,4850697
2,4505235,4566787,3668135,3069842,4279968,4850697
3,4505361,4566787,3667893,3069573,4280238,4854470
4,4511247,4567079,3667723,3068891,4280607,4856539
5,4511672,4567564,3667408,3068330,4280190,4856052
6,4506288,4567152,3667723,3068232,4280337,4850770
7,4505561,4567492,3667796,3068257,4279820,4850649
8,4506863,4566982,3668304,3068257,4279820,4856028
9,4511472,4567297,3668377,3068330,4279820,4856174
10,4511372,4567419,3668062,3069013,4280017,4851647
11,4505811,4568050,3667965,3069744,4280558,4851427
12,4506187,4567661,3667820,3070061,4280484,4854957
13,4506187,4567661,3667820,3070159,4280903,4854957
14,4510996,4568195,3668014,3070305,4280460,4855103
15,4510345,4568098,3667820,3070720,4280731,4853010
16,4503808,4567370,3668353,3071110,4280706,4849407
17,4504935,4567758,3668547,3071671,4281124,4850430
18,4510245,4567661,3668522,3072426,4281100,4855176
19,4510570,4567103,3668304,3072426,4281100,4855395
20,4507965,4567783,3668353,3073500,4281567,4850454
21,4505661,4567710,3668789,3074597,4281961,4850576
22,4506012,4567540,3668353,3074329,4282625,4855906
23,4511623,4567273,3668668,3073914,4282748,4856710
24,4511623,4567273,3668668,3074036,4283363,4856710
25,4511046,4567346,3668764,3073549,4283388,4853764
26,4505160,4567297,3668910,3072866,4283855,4852645
27,4505286,4566666,3668425,3072866,4284002,4855225
28,4511898,4566642,3668329,3073134,4284002,4858170
29,4512023,4567103,3668401,3073134,4283904,4857221
30,4506964,4566011,3668910,3072671,4283904,4852718
31,4508016,4566739,3668643,3072086,4284101,4852815
32,4513751,4567103,3668643,3071695,4283978,4857659
33,4515630,4567589,3669007,3071817,4283929,4858292
34,4515655,4567661,3669345,3072232,4283338,4858292
35,4515655,4567661,3669345,3071842,4283019,4853935
36,4511672,4567807,3668958,3072281,4283240,4855005
37,4512825,4568365,3668764,3072597,4283265,4860214
38,4519312,4568753,3668983,3072719,4283535,4860580
39,4519538,4569166,3669249,3072476,4283363,4857951
40,4513777,4569991,3669539,3072476,4283363,4856831
41,4514353,4569166,3669370,3072842,4283535,4859971
42,4520564,4569967,3669225,3073451,4283658,4863232
43,4521191,4570695,3669418,3074231,4283658,4861699
44,4516256,4570646,3669612,3074134,4283757,4858511
45,4515655,4570452,3669200,3073914,4283929,4858511
46,4515655,4570452,3669200,3074134,4284126,4858705
47,4518536,4571374,3669152,3073768,4284298,4864011
48,4522869,4571350,3669225,3073475,4284027,4863987
49,4522118,4571204,3669321,3073426,4284716,4859338
50,4517233,4571811,3669394,3074061,4284864,4859241
51,4517033,4571835,3669176,3074061,4284864,4864425
52,4523220,4571739,3669830,3073865,4285602,4865180
53,4523620,4572127,3669394,3073817,4285873,4862064
54,4517484,4571932,3669466,3073671,4286414,4859216
55,4517834,4571957,3669515,3073817,4287029,4861845
56,4517834,4571593,3669443,3073865,4287201,4861845
57,4524247,4571593,3669443,3073865,4288038,4863160
58,4524447,4572321,3669321,3074572,4288652,4860993
59,4518761,4572660,3669225,3074963,4289341,4857318
60,4518986,4573146,3669345,3075256,4289366,4857732
61,4524572,4573219,3669466,3075256,4289661,4862721
62,4525524,4572855,3669636,3074670,4289661,4863014
63,4520590,4573510,3669273,3074622,4289710,4858267
64,4520289,4573923,3669685,3074743,4290326,4858681
65,4522343,4572928,3669685,3074890,4290375,4865009
66,4526551,4573461,3669685,3074768,4291039,4865399
67,4526551,4573437,3669660,3075182,4291383,4865399
68,4525925,4573437,3669660,3076011,4291777,4860604
69,4520815,4574456,3669249,3075865,4291383,4860750
70,4520690,4573874,3669564,3075889,4291162,4864717
71,4527402,4574238,3669733,3076280,4290547,4865740
72,4527302,4574796,3669539,3076280,4290252,4862405
73,4521566,4574481,3669321,3076695,4290252,4859460
74,4521591,4574893,3669879,3077255,4289464,4859095
75,4526976,4575403,3669927,3077475,4289563,4864060
76,4527828,4575549,3670217,3077548,4289563,4863622
77,4524372,4574918,3669830,3077889,4289538,4858511
78,4524372,4575306,3669660,3077280,4288751,4858511
79,4522493,4575306,3669660,3076792,4289022,4858462
80,4523320,4575233,3669757,3076036,4288579,4864060
81,4528980,4575815,3669951,3075963,4288456,4864158
82,4528905,4575694,3669879,3075378,4288800,4860409
83,4523370,4575597,3669951,3075378,4288800,4859241
84,4523220,4576131,3669854,3074939,4289120,4863427
85,4528705,4576762,3670169,3075012,4289834,4865204
86,4528580,4576713,3669660,3075329,4290055,4863062
87,4523094,4576738,3669709,3075817,4289710,4860117
88,4522643,4576277,3669733,3076011,4289710,4860117
89,4522643,4576082,3670169,3075963,4289194,4860750
90,4528905,4576082,3669975,3076524,4289612,4863987
91,4529106,4576786,3669975,3076280,4289391,4863378
