被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,4338745,7826717,4877955,3943310,6206390,4970575
1,4337417,7826426,4877398,3943262,6205775,4970696
2,4337191,7826644,4876986,3943262,6205283,4970088
3,4336365,7826693,4877059,3942920,6205012,4969309
4,4335238,7825698,4876551,3942481,6205012,4971013
5,4335313,7825989,4875897,3941872,6205086,4971280
6,4334962,7825989,4875897,3941701,6204815,4970355
7,4333810,7825407,4875243,3941677,6205160,4971402
8,4333860,7824873,4874953,3941750,6204668,4971426
9,4334311,7824897,4874807,3941774,6204791,4969333
10,4333009,7823902,4874250,3941677,6204569,4969017
11,4333009,7823878,4874541,3942165,6204274,4969017
12,4332808,7823271,4875171,3942165,6203954,4968603
13,4333209,7823223,4875679,3941921,6203684,4966607
14,4332533,7822349,4875171,3941921,6203684,4966096
15,4330379,7821864,4875243,3941896,6203265,4967434
16,4330353,7822009,4875364,3941262,6203389,4966899
17,4329402,7822009,4875364,3941116,6202478,4967118
18,4327824,7821257,4875607,3941091,6202650,4969406
19,4327924,7820990,4875146,3940970,6202503,4969406
20,4328450,7820043,4875146,3941019,6202183,4967264
21,4326597,7820601,4874686,3941360,6202060,4967362
22,4326597,7819315,4874275,3941335,6202060,4967362
23,4326321,7819776,4874541,3941335,6201395,4966972
24,4327248,7819073,4874153,3941530,6200830,4965731
25,4326521,7818757,4873960,3941506,6200830,4966436
26,4327098,7818199,4874250,3941384,6200362,4968067
27,4328625,7817665,4875049,3941409,6200092,4966485
28,4328600,7817665,4875049,3941652,6200141,4967094
29,4328350,7818199,4875558,3941750,6199747,4969820
30,4328525,7818320,4877301,3942018,6199944,4968773
31,4328650,7817980,4878536,3941969,6199772,4969357
32,4327223,7818053,4879892,3942628,6199599,4971232
33,4327223,7817932,4880788,3942750,6199747,4971232
34,4327473,7819048,4881588,3942750,6199649,4970234
35,4326571,7819340,4882871,3943481,6199624,4969503
36,4325570,7818417,4883767,3943969,6199624,4970283
37,4325244,7818490,4883912,3944433,6199403,4967824
38,4324467,7817980,4884541,3944920,6199034,4966242
39,4322814,7817980,4884541,3944798,6198517,4966144
40,4321788,7817980,4884275,3944896,6198074,4964782
41,4321737,7818175,4884202,3945042,6198246,4962737
42,4320310,7817980,4884590,3944993,6197927,4962664
43,4320410,7819825,4884202,3945091,6198050,4962080
44,4320410,7819776,4883863,3945091,6198910,4962080
45,4320760,7820966,4884372,3945895,6199772,4959451
46,4320410,7821936,4883863,3946140,6199772,4959694
47,4320961,7823611,4883742,3946944,6200067,4960425
48,4322814,7823829,4883985,3947237,6201347,4959914
49,4322990,7824679,4883548,3947530,6202060,4962031
50,4325745,7824679,4883863,3948017,6203118,4964465
51,4328600,7825504,4883863,3947968,6204668,4964733
52,4331105,7825528,4884493,3948041,6205283,4966510
53,4333610,7826984,4884638,3948017,6205800,4970793
54,4337342,7827106,4884202,3948212,6206390,4970793
55,4337342,7828659,4883525,3948212,6206587,4971426
56,4339095,7827931,4882677,3947968,6206562,4972935
57,4340072,7828295,4881273,3947920,6206562,4975856
58,4341174,7827567,4880546,3947920,6206931,4977390
59,4342702,7827081,4879650,3947798,6206784,4977049
60,4343253,7827081,4879408,3947408,6206956,4978509
61,4344255,7827081,4879069,3947115,6207399,4979045
62,4346359,7827712,4879069,3947286,6207472,4977901
63,4346083,7827009,4878609,3946627,6207694,4978874
64,4347336,7827397,4878052,3946651,6207694,4980456
65,4348313,7827785,4877737,3946651,6207546,4980456
66,4348313,7827542,4877374,3946140,6207694,4979507
67,4348563,7826572,4877253,3945603,6207177,4980456
68,4348613,7826790,4877035,3945286,6207177,4983329
69,4350166,7826086,4876720,3944652,6207054,4983523
70,4350291,7826596,4876163,3944140,6206587,4984862
71,4348338,7825140,4875994,3943579,6206685,4987491
72,4347511,7825140,4875073,3943116,6207128,4988099
73,4346159,7826014,4875073,3943018,6207571,4987929
74,4343403,7825480,4875146,3942823,6208161,4990314
75,4341800,7825989,4874759,3942408,6208850,4989803
76,4341325,7825553,4873984,3942408,6209072,4989803
77,4341325,7824023,4873887,3942042,6209416,4988708
78,4339346,7823878,4873911,3941799,6209662,4989973
79,4339671,7822616,4873960,3941921,6209662,4990193
80,4339922,7822034,4874299,3941628,6209932,4989584
81,4339095,7821742,4874832,3942116,6210917,4990485
82,4339020,7821111,4875146,3942603,6211310,4992408
83,4339997,7821111,4874832,3943165,6212491,4992164
84,4340348,7821306,4874832,3943701,6213156,4992383
85,4340022,7820650,4875364,3944286,6214164,4993332
86,4341500,7821136,4875219,3944408,6215099,4992383
87,4341225,7821232,4875049,3944408,6215714,4992383
88,4341225,7821354,4874711,3944847,6216206,4991142
89,4339195,7821232,4874396,3945164,6216206,4991824
90,4337868,7821111,4874613,3945164,6217240,4991775
91,4337642,7821354,4875049,3945408,6218101,4990582
