被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
117,4103749,4917204,3709056,3150097,4842996,4787680
118,4104149,4917156,3708815,3150195,4842553,4787364
119,4104149,4917301,3708936,3150048,4842577,4787194
120,4103774,4917204,3708742,3149975,4842627,4787121
121,4103924,4917034,3708427,3150195,4842627,4787607
122,4104976,4917811,3708451,3150195,4842282,4787267
123,4105602,4917374,3709081,3150487,4842307,4787267
124,4105878,4917034,3708887,3151146,4842651,4786390
125,4104425,4917131,3709056,3151463,4842184,4786172
126,4104726,4917131,3709081,3151512,4842528,4786536
127,4104726,4917034,3709081,3151658,4842676,4786902
128,4104826,4917641,3708984,3152121,4842996,4786828
129,4103774,4917811,3708960,3152414,4842651,4786196
130,4103774,4917859,3708984,3152682,4842627,4786318
131,4103874,4918199,3709226,3153292,4842897,4786853
132,4104450,4918515,3709347,3153292,4842897,4787340
133,4104525,4918539,3710122,3153438,4842602,4786464
134,4104751,4918321,3710437,3153755,4843414,4786464
135,4104751,4918709,3710049,3154072,4843192,4786585
136,4104826,4918854,3709517,3153901,4843168,4787340
137,4105627,4918854,3709226,3153682,4843242,4786731
138,4105853,4919170,3709226,3153633,4843733,4785368
139,4105352,4919534,3709008,3153072,4843906,4785222
140,4105577,4918369,3708960,3153023,4843906,4786390
141,4105577,4919194,3708815,3152975,4844152,4786172
142,4106229,4918321,3708960,3153048,4844250,4786123
143,4106955,4919704,3709056,3153048,4844250,4785904
144,4106028,4919024,3709613,3153292,4844103,4786488
145,4104826,4918417,3709831,3153462,4844693,4786488
146,4105251,4918830,3709686,3153901,4844447,4787315
147,4105878,4918369,3710001,3154511,4845529,4787437
148,4106178,4918369,3710194,3154877,4845382,4787194
149,4106479,4918563,3709856,3155023,4845456,4787048
150,4107130,4918612,3709856,3155243,4845652,4787437
151,4108257,4918224,3709734,3155316,4845481,4787461
152,4108257,4918830,3709759,3155560,4846169,4786902
153,4109034,4917981,3709638,3155560,4846169,4786634
154,4108983,4918175,3709879,3156096,4845603,4786172
155,4109134,4918029,3710315,3155633,4845972,4786828
156,4110537,4917568,3710461,3155511,4846071,4786828
157,4110637,4917932,3710800,3155535,4846784,4787388
158,4110938,4917471,3711139,3155218,4846366,4787364
159,4111263,4917471,3711429,3154487,4846145,4787315
160,4111263,4917932,3711478,3153877,4846391,4788581
161,4112841,4917519,3711478,3153633,4846120,4788484
162,4113191,4917787,3711575,3153316,4846883,4788216
163,4113191,4918126,3711648,3152926,4846415,4788386
164,4112916,4917932,3711817,3152926,4846415,4788459
165,4112941,4917398,3712059,3153511,4846637,4788167
166,4113818,4917083,3712277,3153926,4846637,4788167
167,4114144,4918151,3712761,3154560,4846292,4788751
168,4113442,4917180,3713246,3155462,4846661,4788046
169,4114344,4917884,3713802,3155779,4846268,4788021
170,4114369,4917884,3714553,3155925,4846022,4789044
171,4115070,4917689,3715449,3156194,4846120,4789311
172,4114544,4918321,3715449,3156194,4846391,4789044
173,4114319,4918612,3716127,3155560,4846243,4788727
174,4114319,4918321,3716732,3155462,4846538,4789628
175,4114619,4918563,3717507,3155462,4846538,4789287
176,4115646,4918175,3717725,3155072,4846760,4789190
177,4116047,4918005,3717967,3154926,4846637,4789190
178,4115070,4918321,3717967,3154950,4847424,4789360
179,4115696,4918417,3717773,3154779,4847547,4789555
180,4116523,4918248,3717410,3154828,4848064,4790090
181,4116924,4918248,3716974,3154901,4848408,4790358
182,4116773,4918417,3717023,3155340,4848088,4789628
183,4117350,4918782,3717023,3155414,4848777,4789579
184,4117149,4918854,3716829,3155560,4848654,4790309
185,4117149,4917811,3716708,3155560,4848703,4790260
186,4117875,4918442,3716684,3155657,4848703,4789871
187,4117976,4918515,3717023,3155414,4849318,4790260
188,4117099,4918224,3716756,3155145,4848974,4790260
189,4117324,4918466,3716490,3154682,4849589,4791185
190,4118276,4918612,3716394,3153731,4849244,4791648
191,4118802,4918684,3716635,3153536,4848851,4791697
192,4118126,4918684,3716660,3153219,4849244,4792062
193,4118452,4918515,3716635,3152268,4848900,4792159
194,4118752,4918029,3716635,3151877,4848580,4793035
195,4119679,4918175,3716877,3151951,4848974,4793571
196,4119679,4918442,3716950,3151951,4848974,4793230
197,4119729,4917932,3716514,3152146,4848457,4793936
198,4119403,4917665,3716587,3152146,4848187,4794252
199,4119955,4918684,3716442,3152536,4847399,4794252
200,4120806,4918321,3716756,3152609,4847128,4794325
201,4121207,4918539,3717047,3152536,4846637,4793449
202,4120004,4918054,3717435,3152755,4846735,4792573
203,4119779,4918054,3717459,3152341,4846440,4792475
204,4119955,4918393,3717991,3151926,4846637,4792183
205,4120104,4917956,3717991,3151780,4846292,4791575
206,4120104,4918321,3717822,3151780,4845972,4790772
207,4120104,4918587,3717604,3151585,4845972,4790869
208,4118552,4918005,3717410,3151365,4845825,4790796
209,4119904,4917932,3717507,3151121,4845677,4790796
210,4120505,4918321,3717216,3151024,4845652,4790406
211,4120380,4918029,3717337,3151268,4845456,4789287
212,4120205,4918369,3717749,3151316,4845652,4789555
213,4119479,4918417,3717677,3151194,4845726,4789871
214,4119704,4918417,3717652,3151048,4845283,4790163
215,4120155,4918539,3717362,3150707,4845358,4790163
216,4120881,4918587,3717556,3150536,4845726,4789239
217,4119879,4919170,3717556,3150536,4845234,4789408
218,4119879,4919243,3717556,3150219,4845234,4789701
219,4120355,4919389,3717628,3149854,4845702,4790383
220,4121808,4919655,3717967,3149854,4845481,4790383
221,4123186,4919510,3717895,3150073,4845505,4789603
222,4123436,4919704,3717797,3150244,4845456,4789506
223,4123336,4919243,3717435,3150585,4845407,4790139
224,4123912,4919389,3717386,3150756,4845603,4790455
225,4124238,4919389,3716829,3150097,4845652,4790383
226,4125139,4919534,3716756,3149805,4846341,4789457
227,4125690,4919073,3716684,3149658,4845825,4789408
228,4127269,4919267,3716684,3149658,4845825,4789652
229,4127269,4919024,3716902,3149366,4845726,4789676
230,4128746,4918709,3716926,3149024,4845677,4788727
231,4130475,4918466,3716611,3148658,4845775,4788727
232,4132052,4918830,3716514,3148561,4845161,4787461
233,4134407,4918879,3716224,3148463,4845087,4787267
234,4137037,4918587,3715715,3148024,4845358,4786828
235,4138414,4918078,3715522,3147756,4845185,4785831
236,4138239,4918078,3715425,3147683,4845283,4784443
237,4139166,4918466,3715570,3147829,4845505,4783884
238,4139216,4918054,3715304,3147829,4845628,4784346
239,4140042,4917932,3715304,3147439,4845628,4784151
240,4140042,4917956,3714747,3147122,4845161,4782740
241,4140067,4917350,3714529,3146561,4845308,4782715
242,4138715,4917471,3714021,3145659,4845628,4782715
243,4138089,4917107,3713585,3145049,4845358,4783518
244,4137964,4917544,3713463,3144196,4845702,4783761
245,4138164,4916986,3713391,3143562,4845505,4783859
246,4136861,4917593,3713367,3143123,4845333,4783835
247,4136661,4916937,3713996,3142562,4844988,4783956
248,4136386,4916937,3714504,3141855,4845013,4784054
249,4136110,4916937,3714602,3141855,4844644,4784054
250,4135233,4917350,3714602,3141391,4844644,4783664
251,4135233,4917180,3714965,3141464,4844915,4784078
252,4134958,4917423,3714892,3141513,4844890,4784589
253,4135559,4916961,3715279,3141342,4844422,4784589
254,4134056,4917010,3715546,3142025,4844176,4784882
255,4133029,4916476,3715933,3142294,4844226,4784638
256,4131101,4917156,3715062,3142318,4844939,4785100
257,4130675,4917204,3715013,3142342,4845161,4785879
258,4130600,4916573,3714892,3142391,4845038,4785952
259,4130299,4916573,3714868,3142391,4845333,4784808
260,4128972,4917398,3714529,3142659,4845333,4785100
261,4128972,4916913,3714529,3142806,4845038,4785441
262,4128496,4917107,3714481,3143147,4844767,4785028
263,4128070,4917641,3714335,3143440,4844496,4784662
264,4127519,4916743,3714650,3143294,4844201,4784662
265,4127269,4916719,3714674,3142952,4844103,4783518
266,4125766,4917131,3714747,3143440,4844103,4782958
267,4126267,4917277,3714843,3143098,4844103,4783786
268,4126617,4916937,3714843,3143318,4844422,4783469
269,4126792,4917107,3714916,3143220,4844472,4782520
270,4125415,4917107,3714892,3143220,4844349,4782156
271,4125165,4916767,3715110,3143878,4844349,4783372
272,4125165,4917010,3715110,3143927,4844201,4783323
273,4124814,4917034,3715183,3143757,4844619,4783810
274,4124488,4917131,3715546,3143416,4844619,4783810
275,4122735,4917544,3715449,3142976,4844890,4783372
276,4123085,4916573,3715158,3143147,4844988,4784224
277,4122635,4916913,3715231,3143001,4845136,4784954
278,4122935,4917058,3715158,3143196,4844890,4785295
279,4122560,4917374,3715013,3143074,4844447,4784565
280,4122735,4917398,3714650,3143049,4844275,4784614
281,4122434,4917398,3714529,3143049,4844053,4785417
282,4123812,4917689,3714141,3143025,4844053,4785417
283,4123812,4917034,3713778,3143488,4843857,4784638
284,4123711,4916791,3713778,3143708,4843857,4784833
285,4123736,4917107,3714214,3143562,4843537,4784833
286,4124137,4916646,3714238,3143269,4842774,4786293
287,4125690,4917058,3714602,3143098,4842159,4786488
288,4125690,4916791,3714795,3142562,4842356,4786536
289,4125340,4916864,3714602,3142294,4841790,4785782
290,4124864,4917107,3714287,3141342,4841544,4786074
291,4125314,4917058,3713875,3141342,4841396,4787072
292,4125941,4917058,3713560,3141221,4840831,4787607
293,4125690,4917010,3713827,3140367,4840831,4787072
294,4125690,4916646,3713778,3139733,4840462,4787072
295,4126342,4916889,3713778,3139709,4839969,4788338
296,4126667,4917496,3713875,3139221,4840068,4788338
297,4127494,4918369,3713948,3138831,4840462,4788289
298,4128520,4918417,3714408,3138367,4840092,4787948
299,4127794,4918321,3714359,3138416,4839773,4787680
300,4128320,4918612,3714602,3138757,4839625,4787583
301,4129598,4918612,3714892,3139563,4839773,4787607
302,4130424,4919194,3715497,3139563,4839453,4787559
303,4130274,4919194,3715134,3140464,4839453,4786756
304,4129898,4919655,3714795,3141025,4839846,4786731
305,4129898,4919267,3714723,3141709,4839526,4787754
306,4130624,4919752,3714723,3142050,4839896,4787778
307,4131326,4919364,3714795,3142416,4839773,4787778
308,4131201,4920044,3715134,3142318,4839453,4787461
309,4131301,4919655,3715667,3141464,4839379,4787413
310,4131301,4920019,3715328,3141586,4839502,4788070
311,4131927,4919534,3714819,3141489,4839896,4788094
312,4132278,4919243,3714238,3141489,4839994,4787388
313,4132403,4919582,3713318,3141367,4840708,4786512
314,4131977,4919582,3712810,3141513,4840708,4785952
315,4132628,4919024,3712252,3141367,4840486,4785733
316,4132628,4918952,3711526,3141391,4840585,4784857
317,4133881,4919073,3711526,3141391,4840658,4784346
318,4133781,4918563,3710921,3141562,4840240,4784346
319,4133931,4918102,3710824,3141855,4840511,4784030
