被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
1365,3691592,5079327,3656294,3126394,4621499,5009372
1366,3695574,5078938,3656294,3128711,4627330,5016187
1367,3700459,5079472,3657384,3131539,4631439,5016187
1368,3703214,5079254,3658328,3135587,4635498,5022320
1369,3702538,5079739,3659030,3140050,4638844,5028138
1370,3702212,5079132,3658522,3145074,4642682,5033858
1371,3701060,5079666,3658159,3149634,4647553,5038604
1372,3701060,5079788,3658134,3154340,4647553,5044032
1373,3696275,5079788,3657602,3154340,4652351,5048827
1374,3688736,5078453,3656948,3158218,4656484,5052234
1375,3684303,5077409,3656100,3163193,4662586,5055618
1376,3681823,5075565,3655471,3168460,4668711,5060121
1377,3681748,5073502,3655447,3168167,4674247,5063650
1378,3681347,5071148,3655447,3168265,4679980,5063650
1379,3681623,5069668,3656197,3168363,4685761,5067837
1380,3684152,5068527,3656222,3170216,4693019,5073581
1381,3692468,5067629,3656222,3172386,4698284,5080323
1382,3708599,5067484,3654890,3176532,4698284,5086676
1383,3708599,5068236,3653486,3177995,4701531,5092250
1384,3731618,5068236,3653388,3177995,4704188,5098141
1385,3761800,5068794,3653195,3181288,4705911,5104079
1386,3790279,5067241,3652735,3185750,4707977,5110043
1387,3805408,5066804,3652251,3189481,4710880,5115787
1388,3821689,5064717,3652468,3193115,4713636,5121215
1389,3838220,5062897,3652468,3196309,4715014,5121215
1390,3848665,5060688,3651161,3200943,4716022,5126594
1391,3853799,5057461,3650580,3208088,4716662,5129369
1392,3852372,5053602,3650241,3212112,4716194,5132874
1393,3845960,5050180,3650555,3215843,4716194,5135892
1394,3845960,5044477,3650047,3215843,4717769,5138642
1395,3834638,5044477,3649030,3222013,4719712,5141125
1396,3825095,5039186,3647916,3230011,4722222,5143145
1397,3818833,5035448,3646827,3240595,4725814,5146042
1398,3810718,5030595,3646439,3252373,4728102,5147015
1399,3802527,5026712,3645543,3261177,4730243,5147015
1400,3790780,5022125,3645543,3268688,4730833,5146943
1401,3767461,5016908,3645180,3276004,4731891,5147161
1402,3741386,5011932,3647262,3282734,4732137,5147746
1403,3709100,5006520,3651064,3289075,4731349,5147405
1404,3672130,5002564,3657336,3295440,4731349,5148062
1405,3672130,4998851,3666198,3295440,4732776,5148476
1406,3644051,4998851,3675181,3300536,4734720,5149474
1407,3612767,4994410,3683486,3304609,4737352,5150374
1408,3571789,4988998,3690508,3308169,4740133,5151397
1409,3539103,4986207,3695811,3312754,4741929,5151713
1410,3511625,4984411,3698911,3316704,4743749,5151713
1411,3491136,4985382,3698911,3320314,4744831,5150715
1412,3500279,4989144,3701574,3322801,4744635,5148574
1413,3509897,4991862,3703051,3324898,4744020,5144095
1414,3469295,4996497,3704407,3326776,4744020,5139616
1415,3427641,5001400,3706756,3329751,4742150,5135795
1416,3427641,5010088,3709977,3329751,4741043,5133701
1417,3447629,5010088,3713003,3333044,4740354,5131024
1418,3491462,5019043,3717459,3335116,4740477,5125499
1419,3515507,5030498,3720849,3336701,4740526,5119414
1420,3541858,5041904,3723270,3336628,4740821,5114911
1421,3581383,5054451,3726079,3335652,4740108,5114911
1422,3614495,5065372,3726079,3334823,4739099,5110408
1423,3639318,5073599,3727265,3333677,4737722,5105613
1424,3660583,5081899,3727774,3332044,4735015,5099795
1425,3687960,5091849,3728209,3330263,4735015,5097872
1426,3716364,5102164,3731164,3330263,4731817,5090935
1427,3716364,5111289,3735256,3330678,4730218,5084705
1428,3741712,5111289,3738477,3330263,4730759,5069029
1429,3768488,5118982,3744990,3328410,4733096,5064892
1430,3797668,5123520,3753295,3327386,4735680,5054474
1431,3831733,5125752,3759349,3329971,4738755,5044373
1432,3869279,5125510,3762690,3330751,4741092,5044373
1433,3905447,5124588,3762690,3330020,4742421,5032616
1434,3935455,5123884,3764725,3329873,4741756,5016552
1435,3961779,5124175,3766080,3328800,4741756,5000414
1436,3980114,5126820,3769325,3327361,4740231,4984301
1437,3989807,5129684,3775064,3327361,4738607,4969234
1438,3989807,5130073,3783950,3324776,4737426,4956115
1439,3996671,5130073,3793975,3320679,4736172,4944846
1440,3996370,5129854,3800609,3318216,4736959,4932748
1441,3989858,5129126,3804895,3317509,4738263,4921966
1442,3975004,5128738,3807268,3316924,4740133,4910842
1443,3951059,5132378,3808745,3317119,4741092,4910842
1444,3927164,5134150,3809835,3316022,4740945,4897455
1445,3912010,5134611,3809835,3312339,4739148,4882291
1446,3901941,5132062,3812450,3307560,4739148,4867955
1447,3896456,5130364,3817051,3307560,4736983,4855638
1448,3895479,5130145,3819690,3299829,4743651,4845464
1449,3895479,5133932,3820828,3289294,4756862,4831444
1450,3896831,5133932,3821070,3280296,4760331,4818885
1451,3897057,5140969,3821191,3269200,4758216,4806617
1452,3899086,5146114,3822014,3263176,4754451,4797514
1453,3906900,5151769,3822668,3255690,4750638,4791307
1454,3925460,5160651,3824484,3247277,4740600,4791307
1455,3950959,5170771,3824775,3240156,4726995,4786269
1456,3978686,5178561,3824775,3232206,4710954,4783567
1457,4001830,5186595,3824920,3227134,4710954,4781815
1458,4023271,5194458,3825041,3227134,4695749,4781620
1459,4033616,5201229,3825840,3226158,4685269,4783397
1460,4033616,5208655,3825477,3227767,4680693,4785806
1461,4034568,5208655,3823758,3228426,4677347,4788338
1462,4030961,5219430,3822136,3224085,4674321,4792354
1463,4025951,5226201,3820901,3215891,4671418,4794691
1464,4020265,5229842,3820368,3208722,4669277,4794691
1465,4020691,5232220,3818988,3204479,4669327,4795421
1466,4021042,5235011,3817317,3204430,4671196,4793498
1467,4022570,5238967,3817317,3207015,4675797,4789896
1468,4030760,5242486,3815477,3213014,4675797,4786439
1469,4043860,5244379,3812910,3213014,4684039,4783981
1470,4058839,5243553,3811627,3218891,4692084,4782740
1471,4058839,5241927,3810804,3223500,4703721,4781839
1472,4078400,5241927,3809423,3226573,4716440,4782107
1473,4099416,5239476,3808358,3228134,4731497,4781693
1474,4121558,5235933,3806130,3230742,4743774,4782253
1475,4138390,5232633,3802692,3233254,4753221,4782253
1476,4149285,5227754,3799641,3235693,4763579,4781157
1477,4157025,5222415,3796106,3239327,4773100,4780013
1478,4164389,5215062,3796106,3242302,4773100,4774585
1479,4171202,5204214,3794023,3242302,4782916,4765190
1480,4179493,5192638,3792280,3246277,4790420,4754408
1481,4188184,5180867,3790754,3249594,4797063,4744720
1482,4188184,5187905,3788987,3254495,4801196,4735714
1483,4193720,5187905,3786348,3260421,4804370,4729264
1484,4194020,5197394,3782836,3266127,4806682,4723422
1485,4193118,5207029,3778865,3272004,4808011,4719163
1486,4191916,5215110,3775015,3278466,4806805,4719163
1487,4188960,5218702,3769785,3284149,4802352,4713832
1488,4184677,5216445,3762618,3287514,4797038,4704388
1489,4178491,5217537,3762618,3291562,4797038,4692924
1490,4169173,5224915,3755039,3291562,4786656,4676786
1491,4155021,5230837,3747048,3295342,4778414,4666758
1492,4138414,5228143,3742108,3300536,4767983,4654832
1493,4138414,5221469,3730994,3302682,4757158,4648746
1494,4119604,5214989,3724965,3304901,4744660,4649647
1495,4102496,5214989,3725328,3306145,4732629,4651740
1496,4082459,5208824,3728234,3306145,4720205,4648965
1497,4063648,5203558,3719928,3305121,4706181,4648965
1498,4057636,5198875,3715183,3304121,4691125,4644292
1499,4042383,5197322,3709008,3302950,4675256,4640690
1500,4025826,5196254,3709008,3302950,4675256,4637380
1501,4006915,5196302,3702761,3301926,4659067,4631270
1502,3968642,5198850,3698911,3301097,4642313,4618905
1503,3924634,5200840,3697191,3299854,4626223,4604058
1504,3924634,5202685,3696102,3297878,4612421,4589405
1505,3853023,5203728,3690630,3295488,4600809,4576626
1506,3776277,5203728,3676803,3293781,4590623,4568424
1507,3697002,5205160,3661767,3292440,4582726,4566208
1508,3628873,5206956,3654163,3291319,4578519,4566208
1509,3580681,5208558,3655665,3291513,4580340,4569275
1510,3563323,5211518,3660071,3292220,4580340,4574314
1511,3576874,5215062,3664769,3292220,4586269,4557592
1512,3623287,5217173,3664769,3292733,4598004,4541333
1513,3683852,5220935,3669273,3294513,4616333,4522640
1514,3730816,5224236,3670605,3295147,4636531,4548659
1515,3730816,5228337,3670024,3295781,4658255,4602086
1516,3759270,5232268,3671065,3295927,4679217,4672892
1517,3768413,5232268,3673704,3293708,4701679,4734546
1518,3781638,5237608,3677651,3292367,4729873,4734546
1519,3807537,5242728,3682954,3292830,4761659,4783421
1520,3833536,5247509,3688959,3293952,4794775,4829789
1521,3846385,5249402,3694456,3295756,4794775,4864547
1522,3853524,5250178,3700630,3295756,4821936,4896068
1523,3866874,5248480,3700630,3296464,4842454,4924059
1524,3878622,5250082,3706175,3295708,4857437,4947474
1525,3882704,5251295,3709274,3292781,4866048,4967652
1526,3882704,5252751,3713681,3290148,4871805,4984885
1527,3884282,5252460,3716030,3288026,4874610,5000439
1528,3886186,5252460,3717773,3285710,4877316,5016089
1529,3887439,5253819,3720510,3283758,4880047,5016089
1530,3885885,5253164,3723706,3282905,4879457,5031034
1531,3883456,5252411,3727895,3281759,4877636,5044105
1532,3881853,5252436,3731648,3281759,4877636,5055788
1533,3880500,5251295,3736661,3282588,4877783,5064916
1534,3875791,5251999,3736661,3285636,4891192,5068762
1535,3868703,5251004,3741503,3293586,4905117,5074263
1536,3856354,5249402,3747339,3297732,4916262,5078571
1537,3856354,5247679,3753901,3297927,4920542,5081978
1538,3841476,5247242,3756394,3295342,4920075,5083877
1539,3821037,5247242,3757290,3289343,4910111,5085703
1540,3793585,5248844,3758719,3279101,4896629,5085703
1541,3766434,5251562,3760584,3276101,4888412,5089670
1542,3749101,5253455,3763223,3275662,4888412,5093248
1543,3735976,5256173,3765862,3275662,4881203,5098749
1544,3728562,5259474,3768913,3268614,4877242,5104907
1545,3722776,5261270,3768913,3258372,4878866,5106660
1546,3719344,5261731,3772594,3250178,4878964,5106124
1547,3716164,5260469,3776952,3242887,4876676,5103130
1548,3716164,5260905,3782715,3232620,4872396,5101183
1549,3704391,5261585,3788333,3221086,4866934,5099065
1550,3691391,5261585,3791529,3209137,4860389,5099893
1551,3679268,5262823,3795500,3198553,4854214,5099893
1552,3670176,5268841,3799374,3194115,4848974,5102862
1553,3654271,5272724,3804895,3194115,4848974,5105832
1554,3649111,5276340,3809084,3195236,4845308,5108047
1555,3659681,5279253,3816397,3196870,4844201,5108631
1556,3670602,5281850,3816397,3198065,4842971,5109483
1557,3670577,5284519,3822184,3197333,4841544,5108777
1558,3675912,5287456,3828020,3195553,4841421,5105321
1559,3675912,5289907,3833855,3191944,4840879,5102765
1560,3679168,5293717,3838044,3189164,4840068,5098481
1561,3681347,5293717,3840441,3188384,4838641,5095877
1562,3684929,5297357,3842524,3188384,4836820,5095877
1563,3687634,5303182,3849497,3190334,4834188,5090473
1564,3686081,5307137,3854340,3190334,4834188,5083926
1565,3680796,5308327,3857875,3193554,4832810,5077378
1566,3674485,5310802,3860055,3199724,4833007,5069541
1567,3664440,5312671,3860055,3204674,4832982,5062725
1568,3660808,5319393,3859667,3209088,4833253,5057030
1569,3657427,5319053,3859086,3214038,4833351,5050652
1570,3657427,5309443,3859062,3217843,4834188,5043715
1571,3653845,5289737,3860321,3222744,4834877,5036924
1572,3646656,5289737,3861774,3228767,4835516,5036924
1573,3619329,5266997,3865139,3233327,4835935,5031740
1574,3591351,5242243,3867682,3238497,4835935,5028868
1575,3557287,5219794,3866786,3238497,4836230,5026166
1576,3516860,5197030,3859352,3242009,4835738,5025509
1577,3508594,5176329,3851943,3245399,4834950,5023148
1578,3494017,5160870,3846906,3251691,4832761,5022028
1579,3496597,5148954,3846906,3256714,4832047,5018864
1580,3496597,5142959,3843008,3259689,4830866,5015749
1581,3477436,5134417,3836664,3260908,4828505,5010661
1582,3415743,5132087,3829109,3263542,4826463,5005039
1583,3371510,5132087,3821022,3266127,4822797,5005039
1584,3418674,5133276,3813104,3270053,4819328,4997421
1585,3487329,5133932,3812644,3270053,4819328,4986978
1586,3529484,5136213,3810246,3274589,4816277,4975174
1587,3563248,5137329,3807075,3278540,4811750,4959936
1588,3591026,5138882,3801893,3282564,4806953,4941487
1589,3615648,5140727,3796832,3285661,4802992,4931191
1590,3637364,5139222,3796832,3286709,4797653,4932067
1591,3637364,5135072,3793321,3286392,4793176,4920968
1592,3660833,5131407,3790415,3285782,4790075,4913301
1593,3685154,5129393,3788115,3285758,4787000,4901155
1594,3702587,5129393,3785524,3283417,4782990,4901155
1595,3720446,5126117,3785330,3280393,4778660,4884335
1596,3742764,5123375,3785718,3280393,4778660,4864255
1597,3764330,5116579,3787098,3277467,4775068,4840255
1598,3778933,5107915,3787267,3277052,4771279,4812897
1599,3794487,5098305,3785452,3277540,4768499,4782666
1600,3814300,5089155,3783708,3279296,4766162,4748225
1601,3834137,5079788,3783708,3280003,4764194,4712323
1602,3834137,5071003,3781868,3279979,4762718,4679293
1603,3856004,5060979,3780148,3279930,4761340,4658191
1604,3880199,5049112,3779253,3278954,4761635,4647237
1605,3903318,5049112,3778793,3276857,4761930,4647237
1606,3928166,5037487,3777679,3276857,4761930,4638134
1607,3950157,5028289,3775475,3270712,4763210,4626256
1608,3975180,5022853,3774313,3267517,4765202,4607392
1609,3998599,5020038,3774918,3265859,4767638,4601161
1610,4022570,5019480,3776855,3264225,4772067,4610727
1611,4053428,5020183,3781311,3263786,4777627,4617907
1612,4086090,5021081,3781311,3262762,4786262,4617421
1613,4086090,5019262,3787340,3255470,4820164,4619197
1614,4119829,5018557,3793200,3251593,4835049,4623773
1615,4151139,5018387,3797728,3247545,4841052,4631464
1616,4180795,5018387,3798454,3246594,4840806,4631464
1617,4204941,5019092,3798043,3246594,4840806,4639059
1618,4224853,5019892,3798576,3255226,4832244,4645972
1619,4241485,5021640,3800319,3260689,4823609,4651108
1620,4257365,5023120,3804459,3256861,4815883,4654637
1621,4272369,5027537,3809786,3249349,4807494,4661379
1622,4285644,5029745,3812741,3240449,4800064,4673427
1623,4298118,5034114,3812741,3232011,4794184,4682238
1624,4298118,5041807,3815162,3224500,4790986,4690417
1625,4312219,5042826,3816566,3216964,4784023,4695431
1626,4323616,5045690,3817414,3210331,4778340,4695431
1627,4330554,5045690,3819206,3210331,4774330,4698133
1628,4335989,5047413,3820029,3203357,4774330,4700786
1629,4336791,5051418,3818867,3195090,4768844,4700980
1630,4334111,5058941,3818140,3190700,4763653,4699130
1631,4327724,5066683,3816542,3188018,4760725,4698303
1632,4312294,5073162,3814194,3186481,4760503,4697865
1633,4289651,5076536,3812087,3187798,4765449,4700031
1634,4266257,5076099,3812087,3192676,4773174,4701200
1635,4266257,5077482,3807365,3197285,4785524,4704607
1636,4242662,5078841,3802377,3199163,4803976,4707625
1637,4221973,5081195,3797268,3199138,4820730,4707625
1638,4200107,5081195,3794314,3199138,4829390,4706116
1639,4172905,5081632,3792740,3201918,4829390,4701954
1640,4144226,5079205,3792304,3207551,4833179,4694458
1641,4115020,5074958,3791650,3213965,4838420,4682214
1642,4082684,5069547,3788890,3222476,4845308,4665711
1643,4049170,5065663,3784338,3230377,4848753,4647237
1644,4012450,5060057,3779858,3237107,4850745,4633680
1645,3975706,5056344,3774603,3242863,4851705,4622678
1646,3975706,5055859,3774603,3248057,4850327,4613331
1647,3936056,5092407,3767703,3252983,4846661,4605956
1648,3893800,5130801,3761698,3258762,4837977,4605956
1649,3859586,5130801,3754772,3258762,4837977,4605348
1650,3828502,5160676,3746540,3266932,4826758,4607489
1651,3793560,5176207,3736491,3275467,4813546,4612528
1652,3773272,5192128,3728209,3282661,4798834,4619124
1653,3805207,5207490,3722035,3289904,4784171,4627035
1654,3779784,5213897,3717822,3297439,4766802,4634799
1655,3716539,5213897,3720025,3302341,4748793,4641785
1656,3609786,5213557,3717919,3305145,4731915,4652057
1657,3609786,5209164,3717919,3307291,4716047,4666977
1658,3497198,5205282,3716442,3307803,4696857,4683431
1659,3427015,5200719,3718936,3307803,4683128,4683431
1660,3393677,5200719,3725789,3306755,4683128,4699106
1661,3386413,5192880,3739396,3305414,4665833,4709086
1662,3412061,5184071,3752859,3303463,4648784,4718359
1663,3455694,5178635,3754700,3301390,4632522,4704510
1664,3515207,5176450,3755838,3299415,4616653,4691999
1665,3568684,5176207,3755378,3297708,4601399,4666003
1666,3602172,5176620,3750317,3295732,4587449,4669168
1667,3606856,5178853,3740220,3293562,4575739,4669411
1668,3606856,5183391,3740220,3291830,4568899,4672868
1669,3624039,5188779,3723391,3290538,4561740,4683310
1670,3648861,5194555,3706901,3290538,4564397,4683310
1671,3670277,5194555,3693100,3288295,4564397,4700031
1672,3686657,5198850,3681017,3285441,4574927,4715560
1673,3698931,5203534,3674649,3282881,4586736,4736541
1674,3711605,5207878,3677820,3281076,4600046,4761612
1675,3721774,5211057,3690387,3280198,4617612,4782082
1676,3728261,5213290,3705497,3281003,4635965,4800994
1677,3735951,5215256,3715643,3284246,4653581,4825140
1678,3742764,5218605,3717701,3288782,4664701,4850162
1679,3742764,5220571,3717701,3291343,4680792,4873967
1680,3745018,5222755,3713754,3291343,4692158,4873967
1681,3746195,5225497,3710146,3293074,4692158,4894802
1682,3750228,5225497,3708112,3295220,4698554,4915029
1683,3755664,5229793,3710364,3295293,4699563,4933308
1684,3757868,5233069,3715037,3293611,4703082,4948862
1685,3756916,5234016,3724263,3291294,4708494,4960131
1686,3754436,5236078,3733173,3288002,4714768,4971571
1687,3744217,5238457,3740583,3282978,4715751,4979774
1688,3730966,5240059,3745910,3272199,4743380,4985007
1689,3713183,5243044,3749373,3267615,4799375,4989242
1690,3713183,5246053,3749373,3253861,4824470,4993915
1691,3693996,5247412,3750656,3253861,4827644,4993915
1692,3668523,5250737,3751237,3228182,4827644,5000560
1693,3639643,5250737,3751939,3191286,4819943,5004820
1694,3616474,5253115,3754482,3169704,4821493,5007692
1695,3588646,5253018,3757533,3173191,4820386,5012560
1696,3566179,5253746,3762448,3185384,4820927,5022734
1697,3542208,5256440,3768017,3205966,4825454,5032714
1698,3524900,5256998,3772352,3211185,4832195,5041525
1699,3515633,5257265,3776686,3193505,4837115,5049436
1700,3508745,5257241,3782594,3162559,4837460,5056105
1701,3508745,5254183,3782594,3128272,4834975,5063382
1702,3515558,5252387,3787946,3128272,4831900,5063382
1703,3522646,5249645,3793466,3098691,4831900,5067934
1704,3530687,5249645,3796881,3082181,4830793,5071683
1705,3539178,5248237,3800827,3080109,4829734,5076672
1706,3546617,5244476,3803854,3081742,4825651,5081516
1707,3561821,5243796,3806590,3090058,4819500,5084121
1708,3578202,5243262,3808407,3104836,4813030,5087065
1709,3597789,5244572,3809084,3116493,4809241,5087747
1710,3618378,5247922,3810852,3120614,4808478,5089061
1711,3640645,5249936,3814750,3115615,4811185,5090035
1712,3640645,5248892,3814750,3115615,4815810,5090765
1713,3663163,5249912,3818455,3107202,4815810,5090765
1714,3682625,5249669,3822112,3099203,4821001,5092664
1715,3699156,5249669,3824678,3091668,4825527,5093467
1716,3715237,5250567,3830732,3090180,4828308,5094100
1717,3731067,5250688,3840538,3095545,4828406,5092250
1718,3751104,5251343,3850757,3105568,4827053,5092469
1719,3772470,5248747,3857900,3118395,4825626,5088429
1720,3794161,5238699,3862840,3131198,4826315,5084096
1721,3808288,5222658,3864389,3143220,4828234,5081540
1722,3811745,5213048,3864873,3153438,4831309,5075894
1723,3811745,5210912,3866108,3153438,4834188,5071098
1724,3801225,5195598,3866108,3159584,4834188,5071098
1725,3780761,5180042,3864316,3163388,4836968,5064624
1726,3743165,5180042,3860999,3165753,4839871,5057371
1727,3717942,5158297,3855527,3171874,4840585,5050701
1728,3665718,5141261,3848916,3178824,4839846,5045931
1729,3648986,5133665,3839473,3188993,4837927,5040308
1730,3638065,5135897,3825211,3199333,4834950,5035124
1731,3664741,5136892,3804314,3208892,4831752,5029403
1732,3676538,5138712,3793684,3216160,4828087,5025095
1733,3695449,5139198,3791699,3216160,4824494,5019862
1734,3695449,5140338,3801675,3221768,4822059,5019862
1735,3703264,5139416,3801675,3225939,4822059,5014653
1736,3714310,5144439,3810319,3229377,4820435,5007497
1737,3723051,5149415,3810101,3231987,4818147,5000268
1738,3732119,5149415,3801820,3235376,4817138,4990605
1739,3756766,5147935,3787970,3238278,4815515,4986321
1740,3779784,5141018,3780124,3240668,4813940,4984666
1741,3808238,5132937,3771989,3241643,4810397,4974151
1742,3832784,5126311,3761238,3240278,4805624,4959936
1743,3850518,5121263,3753659,3240717,4800360,4942582
1744,3867976,5116167,3751818,3240717,4794627,4918777
1745,3867976,5110124,3753271,3242033,4794627,4918777
1746,3885735,5104153,3753271,3243009,4788058,4890980
1747,3904646,5099251,3758671,3241570,4782006,4864450
1748,3924033,5092893,3763683,3239961,4777528,4842057
1749,3950909,5092893,3763659,3237010,4773420,4821270
1750,3979663,5085661,3758937,3236034,4770295,4801189
1751,4005863,5077579,3754288,3234376,4767785,4787340
1752,4023847,5070687,3750801,3230767,4766703,4774415
1753,4034968,5065178,3749470,3229743,4766187,4760176
1754,4046941,5060130,3752254,3228865,4764809,4743527
1755,4058813,5054014,3755838,3228865,4763480,4728485
1756,4058813,5046976,3757267,3223842,4763480,4728485
1757,4069308,5038312,3757267,3221110,4761143,4716607
1758,4073341,5032051,3757315,3218989,4757576,4703098
1759,4074944,5027974,3758308,3215989,4753172,4680681
1760,4074593,5027974,3758768,3215916,4750392,4657898
1761,4072865,5022319,3759906,3216745,4749063,4637234
1762,4071913,5015742,3761867,3215647,4748178,4619003
1763,4072464,5010234,3764627,3212404,4771648,4603206
1764,4074869,5005720,3769107,3206722,4793446,4589235
1765,4070836,5000744,3772061,3206722,4803656,4579401
1766,4062495,4997177,3774579,3201625,4811923,4572342
1767,4062495,4991619,3777727,3192456,4811923,4572342
1768,4053979,4986450,3777727,3195724,4808872,4571053
1769,4040479,4982810,3780536,3207502,4806609,4571904
1770,4026903,4981960,3784483,3216696,4806043,4576797
1771,4008367,4981960,3789181,3217184,4805157,4584999
1772,3992287,4981062,3793176,3211990,4805624,4596293
1773,3973602,4982834,3796081,3203284,4805624,4603522
1774,3955642,4985722,3798721,3191822,4803902,4607904
1775,3937283,4992639,3799907,3180385,4800876,4608390
1776,3918798,5003244,3802086,3180385,4797407,4604788
1777,3898033,5018387,3801772,3172557,4797407,4601039
1778,3898033,5035376,3801699,3167290,4795833,4601039
1779,3874063,5049234,3801699,3167216,4793151,4596731
1780,3847913,5065275,3800851,3171655,4791650,4593275
1781,3824644,5079666,3800464,3178385,4789805,4588383
1782,3800674,5079666,3800198,3184628,4790641,4585364
1783,3770667,5091121,3799253,3189871,4795094,4584172
1784,3745168,5100513,3798261,3193773,4800064,4586265
1785,3718418,5104833,3797074,3195675,4804763,4588285
1786,3689187,5105925,3796856,3195675,4811898,4589235
1787,3665517,5104518,3795040,3194944,4818295,4589940
1788,3644127,5098790,3792619,3196968,4818295,4589940
1789,3644127,5092238,3789689,3202357,4823781,4585778
1790,3618653,5084253,3789689,3210429,4828332,4574046
1791,3590650,5079860,3785936,3219769,4831063,4556327
1792,3563173,5076244,3782715,3228719,4832588,4534907
1793,3543135,5076244,3778913,3236303,4833868,4510567
1794,3527981,5076778,3774967,3242741,4833327,4481602
1795,3509196,5075856,3768066,3247984,4833524,4456045
1796,3485125,5073987,3762739,3251740,4831555,4449035
1797,3460754,5092941,3756855,3251740,4829563,4450617
1798,3439889,5138445,3751939,3256739,4824199,4452199
1799,3427290,5182808,3747266,3261786,4824199,4452199
1800,3427290,5222148,3745983,3267591,4816942,4448986
1801,3415267,5248722,3745571,3274102,4809954,4450179
1802,3411511,5266803,3745571,3281296,4801934,4435964
1803,3415092,5271389,3746709,3287611,4794627,4423282
1804,3353475,5271389,3752690,3293294,4781784,4412597
1805,3263379,5269424,3756394,3298317,4768450,4404273
1806,3179746,5269084,3754191,3300195,4752975,4397141
1807,3139519,5272724,3741842,3300195,4736663,4383291
1808,3124416,5276704,3738137,3300707,4719958,4329353
1809,3114572,5273185,3745014,3300293,4719958,4299610
1810,3114672,5266851,3749251,3300171,4703007,4299610
1811,3114672,5261488,3745402,3299829,4684556,4301995
1812,3119306,5254450,3746056,3298732,4668318,4313873
1813,3122838,5248747,3746056,3298390,4652105,4369272
1814,3126119,5241636,3748355,3296293,4635055,4440467
1815,3154623,5241636,3750971,3293123,4617218,4423794
1816,3199158,5235423,3752182,3289002,4599087,4424159
1817,3221750,5230375,3745329,3284685,4581029,4431461
1818,3228889,5224308,3731285,3284685,4564151,4484304
1819,3235100,5219746,3713875,3280612,4549537,4573267
1820,3254362,5217246,3702712,3276882,4549537,4630954
1821,3282841,5216615,3703657,3273955,4535612,4630954
1822,3282841,5217440,3712592,3269346,4520900,4699910
1823,3300249,5217343,3725837,3262713,4514405,4771251
1824,3313500,5217367,3725837,3256836,4510641,4829083
1825,3321464,5216202,3740026,3248813,4509681,4861918
1826,3328578,5216202,3746249,3245496,4506680,4885796
1827,3337520,5215741,3743319,3244179,4505204,4911426
1828,3348240,5212902,3738137,3244399,4503900,4935328
1829,3363695,5211155,3732980,3244399,4500209,4955871
1830,3370883,5209213,3729105,3245155,4494354,4972763
1831,3365348,5207514,3729517,3245228,4494354,4985080
1832,3359086,5206859,3731987,3245302,4489089,4985080
1833,3359086,5207150,3735837,3245228,4485768,4994718
1834,3359261,5209043,3738452,3246179,4482274,5001899
1835,3359837,5211834,3738452,3250959,4483726,5006986
1836,3355253,5213824,3740365,3262250,4488892,5011319
1837,3349292,5213824,3744118,3273638,4496765,5015237
1838,3344283,5215547,3746927,3276613,4546462,5018621
1839,3338296,5215765,3748355,3276613,4609863,5022588
1840,3330857,5215474,3747121,3272467,4662832,5026483
1841,3323143,5214382,3746322,3269298,4662832,5027675
1842,3319185,5213630,3747944,3268712,4717203,5027675
1843,3317081,5211955,3751189,3259421,4747489,5031862
1844,3317081,5209480,3758041,3238936,4756641,5035902
1845,3317382,5206349,3767025,3228304,4762865,5037825
1846,3315879,5203194,3767025,3225914,4767491,5041768
1847,3314326,5198559,3772134,3225988,4768819,5041038
1848,3311070,5198559,3773756,3220964,4774871,5041209
1849,3304207,5195307,3776492,3205747,4784565,5039432
1850,3293336,5194118,3779737,3205747,4793274,5038434
1851,3282791,5191594,3782594,3185189,4798195,5037290
1852,3272772,5191545,3785887,3157364,4798195,5035318
1853,3261626,5192710,3790560,3131978,4794652,5035318
1854,3256667,5192880,3794580,3116664,4791429,5030913
1855,3256667,5191521,3798018,3115371,4788673,5027286
1856,3253961,5190987,3799423,3125589,4788526,5023343
1857,3251582,5190453,3799423,3143635,4785868,5018280
1858,3261802,5188900,3799738,3165705,4783384,5013388
1859,3264932,5188900,3800077,3178605,4780185,5008130
1860,3263705,5188949,3802716,3178605,4778020,5000341
1861,3266510,5192273,3807268,3180458,4776224,4991360
1862,3268163,5196690,3808818,3178458,4773198,4981624
1863,3270042,5199530,3807050,3176435,4773198,4970573
1864,3272847,5199263,3806881,3179288,4770837,4970573
1865,3270217,5197661,3808503,3185628,4768426,4958938
1866,3270217,5197079,3812256,3190700,4768672,4947060
1867,3261301,5199846,3815477,3194700,4770984,4936570
1868,3254964,5202976,3815477,3200138,4772829,4929073
1869,3250956,5206179,3817293,3205771,4771944,4922720
1870,3252659,5206179,3821627,3216428,4767835,4915783
1871,3262378,5208533,3826228,3216428,4765645,4911791
1872,3275051,5213023,3830756,3225866,4763726,4907946
1873,3285997,5216809,3830707,3232864,4763726,4906436
1874,3293462,5206713,3831434,3237449,4763087,4905536
1875,3314150,5200282,3834000,3243863,4762619,4905536
1876,3347990,5195380,3838964,3251227,4761561,4901422
