被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,4973474,7075388,4601747,3299854,5710994,5737438
1,4971244,7075169,4601771,3300341,5711044,5738314
2,4971244,7075800,4602037,3301146,5710822,5738266
3,4972973,7075558,4601771,3301292,5710626,5736051
4,4972698,7075631,4602449,3301317,5710355,5736051
5,4971370,7075558,4602352,3301317,5710749,5737536
6,4973048,7076165,4602352,3301048,5710797,5734761
7,4971119,7076189,4602473,3301755,5710674,5735564
8,4972472,7076237,4602933,3301975,5710674,5736538
9,4971845,7076820,4602933,3301975,5710724,5733982
10,4971295,7076407,4602764,3302243,5711167,5736903
11,4973098,7076407,4602982,3302999,5711511,5735199
12,4971195,7077499,4602788,3303170,5711585,5737098
13,4971195,7077451,4603272,3303731,5711757,5736732
14,4973273,7077888,4603345,3303877,5712175,5735126
15,4972948,7077863,4603369,3303975,5711585,5735126
16,4972297,7078203,4603466,3304438,5711585,5737244
17,4973925,7078373,4603829,3304609,5712028,5734955
18,4972747,7078883,4603902,3304414,5712028,5736222
19,4974401,7078979,4603805,3304389,5712003,5735418
20,4974651,7079077,4603805,3304389,5711757,5733593
21,4973098,7079489,4604023,3304658,5712200,5735394
22,4974977,7079489,4603950,3304877,5712668,5733106
23,4973949,7079829,4604217,3304926,5712594,5734371
24,4973949,7080169,4604434,3305121,5712618,5733787
25,4976229,7080169,4604556,3305804,5713381,5733787
26,4976179,7080460,4604967,3306609,5713405,5732522
27,4974676,7081212,4604822,3306999,5713578,5734201
28,4976630,7080679,4605161,3307609,5713455,5732035
29,4975377,7081212,4605015,3308242,5713455,5733106
30,4976554,7081843,4605040,3308632,5713799,5733276
31,4976254,7082353,4605040,3308632,5714119,5731280
32,4974676,7082426,4605137,3309242,5714414,5732716
33,4976254,7082426,4605355,3309291,5714537,5730015
34,4975177,7082620,4605597,3309169,5715004,5731013
35,4975177,7082693,4605621,3309071,5715620,5730793
36,4976479,7083008,4605597,3308974,5715767,5730793
37,4976454,7082547,4605597,3309047,5715767,5729455
38,4974651,7083129,4605645,3309291,5716161,5731183
39,4976454,7083906,4606033,3308998,5716259,5728846
40,4974726,7084367,4606226,3309316,5716259,5731426
41,4976429,7084925,4606178,3309316,5716530,5730769
42,4976279,7085993,4606178,3309900,5717662,5729966
43,4975853,7086867,4606250,3310291,5718326,5732814
44,4978233,7086867,4606638,3310462,5718351,5729869
45,4977431,7087571,4606856,3310705,5718941,5731694
46,4977431,7088008,4607074,3310803,5719753,5730380
47,4979535,7089148,4607001,3311193,5719950,5730380
48,4979260,7088930,4607146,3311388,5720147,5728798
49,4979185,7089804,4607364,3311364,5720147,5730501
50,4981289,7091235,4607631,3311730,5720147,5727605
51,4979961,7091211,4607558,3312656,5720294,5729382
52,4982165,7092182,4607825,3312656,5720393,5728651
53,4981013,7092619,4607703,3313266,5720122,5728019
54,4981639,7092716,4607703,3312949,5720368,5729552
55,4982716,7092716,4608139,3313193,5720836,5727532
56,4982716,7093444,4608115,3313485,5720836,5730185
57,4981514,7093686,4607994,3313949,5720639,5728067
58,4983493,7092935,4608430,3313412,5720565,5728067
59,4981614,7093517,4608333,3313583,5720663,5727556
60,4982265,7094148,4608478,3313851,5720122,5729065
61,4983668,7094949,4608357,3313437,5720122,5726558
62,4981990,7095191,4608623,3313437,5719556,5728651
63,4983292,7095992,4608381,3313022,5719827,5726728
64,4981664,7095944,4608212,3312730,5719507,5727702
65,4982090,7096502,4608212,3312900,5719433,5727726
66,4983192,7096502,4608454,3313095,5718990,5725730
67,4983192,7096817,4608599,3312900,5718769,5727410
68,4981664,7096672,4608527,3312242,5718572,5725633
69,4982992,7096793,4608454,3311705,5718154,5725633
70,4981815,7097036,4608309,3311559,5718178,5725730
71,4982566,7097400,4608066,3310949,5718178,5727434
72,4983493,7097861,4608333,3310364,5717908,5725512
73,4981263,7098589,4608236,3310364,5718597,5727849
74,4982917,7098419,4608066,3310145,5717957,5725950
75,4981339,7098953,4608260,3309437,5718572,5726339
76,4980788,7099608,4608260,3309023,5718621,5727532
77,4982566,7099608,4607921,3308828,5718400,5725925
78,4982566,7099972,4607897,3308657,5717514,5728311
79,4980562,7100555,4607752,3309437,5716973,5728311
80,4982491,7100918,4607631,3309584,5716604,5726339
81,4980287,7101016,4607825,3309169,5716702,5727215
82,4981163,7101501,4607631,3308438,5716702,5727946
83,4981439,7100773,4607825,3307706,5716112,5726120
84,4980337,7100773,4607921,3307706,5716407,5728043
85,4982190,7101720,4608139,3307218,5716186,5726923
86,4980487,7101088,4607897,3306170,5715866,5727434
87,4979986,7101137,4607897,3305170,5715054,5729236
88,4980838,7101137,4607703,3304853,5715029,5727580
89,4980838,7102059,4607897,3305024,5714587,5730380
90,4978784,7101913,4607800,3304731,5713873,5730380
91,4979711,7101744,4608212,3304731,5713651,5728238
