被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,4969441,6873302,4727727,3624728,5237151,5980355
1,4967763,6874030,4727146,3624825,5236954,5982254
2,4968965,6875316,4727194,3624435,5236855,5982254
3,4969641,6875486,4727363,3624313,5236733,5980404
4,4968539,6874782,4727218,3624070,5236831,5983009
5,4969817,6874782,4727242,3623850,5236880,5980745
6,4968690,6875243,4727267,3623606,5236757,5982011
7,4970117,6874807,4727630,3623679,5236339,5983447
8,4969892,6874103,4727363,3623435,5235871,5981159
9,4969892,6874661,4727242,3623192,5235871,5983690
10,4968464,6875729,4727291,3623192,5235109,5981572
11,4970318,6875607,4727291,3623533,5234765,5982814
12,4968815,6875049,4726952,3622923,5234125,5982814
13,4970093,6875559,4726734,3622582,5233165,5983252
14,4969942,6875898,4726467,3622289,5232599,5981743
15,4968590,6875389,4726298,3621826,5232427,5983739
16,4970669,6875389,4726564,3621241,5232083,5981061
17,4968890,6875292,4726540,3620802,5232205,5982059
18,4970869,6874272,4726032,3620485,5231837,5981767
19,4970017,6873521,4725984,3620387,5231345,5979771
20,4970017,6872695,4726322,3620046,5231345,5981962
21,4969416,6873981,4726201,3620046,5231271,5979211
22,4970468,6873787,4726201,3620656,5231074,5981743
23,4968840,6874467,4726104,3620265,5230729,5981743
24,4970819,6874758,4725984,3619558,5230385,5980088
25,4969341,6875462,4725765,3619241,5230139,5979990
26,4970719,6876190,4725620,3619119,5230016,5982059
27,4971821,6876190,4725450,3619070,5229352,5980818
28,4970944,6875802,4725620,3618729,5229057,5982862
29,4973348,6875996,4725693,3618949,5229376,5980429
30,4971720,6876384,4725354,3618826,5229376,5980867
31,4971720,6875195,4725257,3618826,5229672,5982132
32,4973624,6875923,4725305,3618144,5229598,5979844
33,4974751,6875535,4724869,3618119,5229303,5981451
34,4973474,6875292,4724869,3617607,5228516,5981451
35,4975728,6875243,4724797,3616705,5227138,5978603
36,4973824,6875559,4724700,3616144,5225711,5979163
37,4975953,6874904,4724530,3615486,5224480,5979577
38,4975979,6874904,4724530,3614705,5223004,5977021
39,4975327,6875146,4724167,3614120,5221454,5977361
40,4977356,6875122,4723877,3613681,5220471,5974538
41,4974726,6875802,4724216,3612486,5220471,5974441
42,4974726,6875073,4724313,3612486,5218453,5973710
43,4975753,6875680,4724700,3612266,5215648,5971204
44,4975102,6876093,4724724,3612120,5212794,5973053
45,4974000,6875802,4724724,3611218,5211023,5973053
46,4975227,6875340,4724797,3611364,5210015,5969938
47,4972847,6875753,4724990,3611218,5209547,5970741
48,4974826,6874709,4724748,3611169,5209940,5968745
49,4973223,6874709,4725136,3611315,5209842,5967723
50,4972772,6873423,4725136,3611194,5209842,5968477
51,4973674,6872161,4724990,3610852,5208883,5966993
52,4971119,6872501,4724821,3610291,5208883,5968940
53,4971119,6871530,4724579,3610291,5207702,5967747
54,4972522,6871530,4724167,3610291,5205979,5968842
55,4970343,6872113,4724530,3610364,5203790,5968842
56,4971219,6873108,4724530,3610876,5202658,5970766
57,4971545,6872962,4724869,3611681,5201526,5969719
58,4970168,6874030,4724990,3611754,5200493,5972420
59,4971845,6873569,4725305,3611584,5200346,5971033
60,4970093,6873569,4725862,3611681,5199755,5972907
61,4971144,6873884,4725838,3612218,5198820,5973394
62,4970743,6874103,4726104,3612266,5198820,5972396
63,4969742,6873156,4726346,3612266,5197442,5975609
64,4969742,6873690,4726758,3612340,5196483,5973905
65,4971069,6873181,4726540,3612803,5194318,5976461
66,4969566,6873132,4726927,3612681,5192473,5976461
67,4971144,6872768,4726927,3612047,5191144,5975585
68,4970242,6872549,4726758,3612023,5189988,5974027
69,4970017,6872040,4725959,3611681,5189496,5975512
70,4971520,6872234,4725693,3610998,5190135,5972518
71,4969917,6872234,4725741,3610828,5190504,5973638
72,4970944,6872331,4725354,3610706,5190431,5972348
73,4970318,6873132,4725378,3610462,5190431,5971593
74,4970218,6872525,4725765,3610462,5190111,5973199
75,4970218,6872695,4725838,3610584,5189397,5971155
76,4971595,6871870,4726129,3610633,5188438,5973394
77,4969967,6872404,4726322,3610706,5187306,5973394
78,4972046,6872113,4726322,3610974,5186273,5971715
79,4970268,6871895,4726637,3611364,5185584,5972615
80,4971295,6872719,4726710,3611413,5185166,5973564
81,4972297,6872355,4727049,3610852,5184009,5972153
82,4971094,6872355,4727000,3610876,5183542,5974076
83,4972998,6873132,4726904,3609926,5183591,5972080
84,4971620,6872671,4727218,3609926,5183591,5973345
85,4974025,6872986,4727436,3609901,5183591,5972786
86,4974025,6871870,4727194,3609998,5183862,5971398
87,4973048,6871142,4727388,3609828,5184182,5972980
88,4972948,6870001,4727678,3610072,5184083,5972980
89,4975427,6869419,4727291,3610462,5183911,5970425
90,4973499,6869104,4727291,3610998,5183985,5972834
91,4975177,6870462,4727436,3610998,5183886,5971374
